date,name,ath_country,value,specialty
1976-12-15,Annemarie Proell,AT,25,Downhill
1976-12-15,Kathy Kreiner,CA,0,Giant Slalom
1976-12-15,Marie Therese Nadig,CH,2,Downhill
1976-12-15,Evi Mittermaier,DE,6,Downhill
1976-12-15,Irene Epple,DE,3,Downhill
1976-12-15,Elena Matous,,20,Downhill
1976-12-15,Elfi Deufel,AT,0,Downhill
1976-12-15,Bernadette Zurbriggen,CH,0,Downhill
1976-12-15,Danielle Debernard,FR,0,Slalom
1976-12-15,Doris De Agostini,CH,0,Downhill
1976-12-15,Brigitte Schroll,AT,4,Downhill
1976-12-15,Cindy Nelson,US,8,Downhill
1976-12-15,Susan Patterson,US,0,Downhill
1976-12-15,Nicola Spiss,AT,11,Downhill
1976-12-15,Jamie Kurlander,US,0,Downhill
1976-12-15,Monika Kaserer,AT,0,Giant Slalom
1976-12-15,Martine Ellmer,AT,0,Downhill
1976-12-15,Marlies Oberholzer,CH,0,Downhill
1976-12-15,Brigitte Totschnig,AT,15,Downhill
1976-12-15,Hanni Wenzel,LI,1,Slalom
1976-12-20,Jamie Kurlander,US,0,Downhill
1976-12-20,Marie Therese Nadig,CH,4,Downhill
1976-12-20,Martine Ellmer,AT,0,Downhill
1976-12-20,Evi Mittermaier,DE,6,Downhill
1976-12-20,Cindy Nelson,US,11,Downhill
1976-12-20,Marlies Oberholzer,CH,0,Downhill
1976-12-20,Susan Patterson,US,0,Downhill
1976-12-20,Doris De Agostini,CH,0,Downhill
1976-12-20,Kathy Kreiner,CA,0,Giant Slalom
1976-12-20,Brigitte Schroll,AT,15,Downhill
1976-12-20,Monika Kaserer,AT,6,Giant Slalom
1976-12-20,Hanni Wenzel,LI,5,Slalom
1976-12-20,Irene Epple,DE,4,Downhill
1976-12-20,Elfi Deufel,AT,0,Downhill
1976-12-20,Elena Matous,,28,Downhill
1976-12-20,Annemarie Proell,AT,45,Downhill
1976-12-20,Nicola Spiss,AT,26,Downhill
1976-12-20,Brigitte Totschnig,AT,40,Downhill
1976-12-20,Danielle Debernard,FR,0,Slalom
1976-12-20,Bernadette Zurbriggen,CH,0,Downhill
1976-12-21,Susan Patterson,US,0,Downhill
1976-12-21,Bernadette Zurbriggen,CH,6,Downhill
1976-12-21,Doris De Agostini,CH,0,Downhill
1976-12-21,Brigitte Schroll,AT,23,Downhill
1976-12-21,Cindy Nelson,US,22,Downhill
1976-12-21,Nicola Spiss,AT,46,Downhill
1976-12-21,Monika Kaserer,AT,7,Giant Slalom
1976-12-21,Brigitte Totschnig,AT,65,Downhill
1976-12-21,Annemarie Proell,AT,45,Downhill
