date,name,ath_country,value,specialty
2010-10-23,Viktoria Rebensburg,DE,100,Giant Slalom
2010-10-23,Lotte Smiseth Sejersted,NO,0,Downhill
2010-10-23,Lene Loeseth,NO,0,Combined
2010-10-23,Irene Curtoni,IT,0,Slalom
2010-10-23,Susanne Riesch,DE,0,Slalom
2010-10-23,Ramona Siebenhofer,AT,0,Combined
2010-10-23,Maria Jose Rienda Contreras,ES,0,Combined
2010-10-23,Nicole Hosp,AT,0,Slalom
2010-10-23,Anne Sophie Barthet,FR,0,Slalom
2010-10-23,Taina Barioz,FR,0,Giant Slalom
2010-10-23,Francesca Marsaglia,IT,0,Downhill
2010-10-23,Mateja Robnik,SK,0,Combined
2010-10-23,Elena Curtoni,IT,0,Super G
2010-10-23,Andrea Fischbacher,AT,0,Downhill
2010-10-23,Katarina Lavtar,SK,0,Combined
2010-10-23,Dana Markova,CZ,0,Combined
2010-10-23,Megan McJames,US,0,Combined
2010-10-23,Julia Mancuso,US,22,Downhill
2010-10-23,Agnieszka Gasienica Daniel,PL,0,Combined
2010-10-23,Victoria Stevens,CA,0,Combined
2010-10-23,Sarka Strachova Zahrobska,CZ,0,Slalom
2010-10-23,Andrea Zemanova,CZ,0,Combined
2010-10-23,Marie-Michele Gagnon,CA,20,Giant Slalom
2010-10-23,Chloe Margrethe Fausa,NO,0,Combined
2010-10-23,Wendy Holdener,CH,0,Slalom
2010-10-23,Anemone Marmottan,FR,29,Giant Slalom
2010-10-23,Marusa Ferk,SK,0,Downhill
2010-10-23,Thea Grosvold,NO,0,Combined
2010-10-23,Elisabeth Goergl,AT,26,Downhill
2010-10-23,Emi Hasegawa,JP,0,Combined
2010-10-23,Emiko Kiyosawa,JP,0,Combined
2010-10-23,Marlies Schild,AT,0,Slalom
2010-10-23,Andrea Dettling,CH,0,Super G
2010-10-23,Lena Duerr,DE,18,Giant Slalom
2010-10-23,Anja Paerson,SE,15,Downhill
2010-10-23,Giulia Gianesini,IT,14,Giant Slalom
2010-10-23,Sabrina Fanchini,IT,0,Slalom
2010-10-23,Anna Veith Fenninger,AT,0,Downhill
2010-10-23,Lara Gut,CH,6,Super G
2010-10-23,Sarah Schleper,US,12,Slalom
2010-10-23,Brittany Phelan,CA,0,Combined
2010-10-23,Maria Pietilae-Holmner,SE,10,Slalom
2010-10-23,Eva-Maria Brem,AT,0,Giant Slalom
2010-10-23,Veronika Staber,DE,0,Giant Slalom
2010-10-23,Anna Hofer,IT,0,Giant Slalom
2010-10-23,Stefanie Koehle,AT,12,Giant Slalom
2010-10-23,Carolin Fernsebner,DE,0,Combined
2010-10-23,Sara Hector,SE,7,Giant Slalom
2010-10-23,Ana Drev,SK,0,Giant Slalom
2010-10-23,Margret Altacher,AT,0,Super G
2010-10-23,Barbara Wirth,DE,0,Slalom
2010-10-23,Veronika Velez Zuzulova,SK,0,Slalom
2010-10-23,Nicole Gius,IT,5,Slalom
2010-10-23,Michaela Kirchgasser,AT,16,Slalom
2010-10-23,Kathrin Fuhrer,CH,0,Giant Slalom
2010-10-23,Mikaela Shiffrin,US,0,Combined
2010-10-23,Chemmy Alcott,GB,4,Giant Slalom
2010-10-23,Fabienne Suter,CH,8,Downhill
