date,name,ath_country,value,specialty
1981-03-30,Tamara McKinney,US,25,Giant Slalom
1981-03-30,Traudl Haecher,DE,20,Parallel
1981-03-30,Hanni Wenzel,LI,15,Giant Slalom
1981-03-30,Olga Charvatova,SK,12,Giant Slalom
1981-03-30,Maria Walliser,CH,11,Downhill
1981-03-30,Perrine Pelen,FR,10,Slalom
1981-03-30,Wanda Bieler,IT,9,Giant Slalom
1981-03-30,Erika Hess,CH,8,Slalom
1981-03-30,Christin Cooper,US,7,Slalom
1981-03-30,Irene Epple,DE,6,Giant Slalom
1981-03-30,Fabienne Serrat,FR,5,Slalom
1981-03-30,Daniela Zini,IT,4,Slalom
1981-03-30,Zoe Haas,CH,3,Combined
1981-03-30,Marie Therese Nadig,CH,2,Downhill
1981-03-30,Maria Rosa Quario,IT,1,Slalom
