date,name,ath_country,value,specialty
1993-12-22,Katja Koren,SK,100,Slalom
1993-12-22,Hilary Lindh,US,0,Downhill
1993-12-22,Picabo Street,US,0,Downhill
1993-12-22,Michelle Ruthven Mckendry,CA,0,Downhill
1993-12-22,Rosi Renoth,DE,22,Downhill
1993-12-22,Carole Montillet,FR,0,Downhill
1993-12-22,Alexandra Meissnitzer,AT,0,Downhill
1993-12-22,Stefanie Schuster,AT,2,Downhill
1993-12-22,Megan Gerety,US,0,Downhill
1993-12-22,Vreni Schneider,CH,0,Slalom
1993-12-22,Deborah Compagnoni,IT,29,Giant Slalom
1993-12-22,Melanie Suchet,FR,0,Downhill
1993-12-22,Carole Merle,FR,0,Giant Slalom
1993-12-22,Heidi Zeller - Baehler,CH,15,Giant Slalom
1993-12-22,Regine Cavagnoud,FR,0,Super G
1993-12-22,Astrid Loedemel,NO,36,Downhill
1993-12-22,Ulrike Stangassinger,DE,0,Super G
1993-12-22,Heidi Zurbriggen,CH,0,Super G
1993-12-22,Sylvia Eder,AT,5,Super G
1993-12-22,Martina Ertl,DE,26,Giant Slalom
1993-12-22,Warwara Zelenskaja,RU,0,Downhill
1993-12-22,Morena Gallizio Tescari,IT,50,Slalom
1993-12-22,Anita Wachter,AT,0,Giant Slalom
1993-12-22,Michaela Gerg-Leitner,DE,32,Giant Slalom
1993-12-22,Florence Masnada,FR,4,Slalom
1993-12-22,Shannon Nobis,US,0,Super G
1993-12-22,Christina Meier,DE,18,Giant Slalom
1993-12-22,Eva Twardokens,US,0,Giant Slalom
1993-12-22,Anja Haas,AT,0,Downhill
1993-12-22,Lucia Medzihradska,SK,1,Slalom
1993-12-22,Tatiana Lebedeva,RU,0,Super G
1993-12-22,Barbara Sadleder,AT,0,Downhill
1993-12-22,Krista Schmidinger,US,0,Downhill
1993-12-22,Martina Osterried,DE,6,Downhill
1993-12-22,Miriam Vogt,DE,8,Giant Slalom
1993-12-22,Manuela Heubi,CH,0,Super G
1993-12-22,Cornelia Meusburger,AT,0,Giant Slalom
1993-12-22,Anne Berge,NO,0,Giant Slalom
1993-12-22,Barbara Merlin,IT,9,Downhill
1993-12-22,Ainhoa Ibarra Astelarra,ES,10,Giant Slalom
1993-12-22,Sophie Lefranc Duvillard,FR,0,Giant Slalom
1993-12-22,Monika Kogler,AT,0,Downhill
1993-12-22,Svetlana Gladishiva,RU,11,Downhill
1993-12-22,Katyuscia Demez,IT,12,Super G
1993-12-22,Regina Haeusl,DE,14,Downhill
1993-12-22,Andrine Flemmen,NO,0,Super G
1993-12-22,Renate Goetschl,AT,0,Downhill
1993-12-22,Michaela Dorfmeister,AT,0,Super G
1993-12-22,Marianne Kjoerstad,NO,13,Slalom
1993-12-22,Veronika Stallmaier Wallinger,AT,0,Downhill
1993-12-22,Katharina Gutensohn,DE,24,Super G
1993-12-22,Kerrin Lee- Gartner,CA,7,Super G
1993-12-22,Spela Pretnar,SK,0,Giant Slalom
1993-12-22,Isolde Kostner,IT,16,Downhill
1993-12-22,Katja Seizinger,DE,60,Downhill
1993-12-22,Pernilla Wiberg,SE,40,Slalom
1993-12-22,Diann Roffe Steinrotter,US,3,Super G
1993-12-22,Alenka Dovzan,SK,45,Super G
1993-12-22,Hilde Gerg,DE,0,Super G
1993-12-22,Bibiana Perez,IT,80,Super G
1993-12-22,Ulrike Maier,AT,20,Giant Slalom
1994-01-15,Sophie Lefranc Duvillard,FR,0,Giant Slalom
1994-01-15,Ulrike Stangassinger,DE,12,Super G
1994-01-15,Christina Meier,DE,18,Giant Slalom
1994-01-15,Carole Merle,FR,32,Giant Slalom
1994-01-15,Katyuscia Demez,IT,12,Super G
1994-01-15,Heidi Zurbriggen,CH,29,Super G
1994-01-15,Tatiana Lebedeva,RU,4,Super G
1994-01-15,Marianne Kjoerstad,NO,13,Slalom
1994-01-15,Michaela Dorfmeister,AT,15,Super G
1994-01-15,Sylvia Eder,AT,18,Super G
1994-01-15,Carole Montillet,FR,0,Downhill
1994-01-15,Krista Schmidinger,US,0,Downhill
1994-01-15,Ulrike Maier,AT,100,Giant Slalom
1994-01-15,Hilde Gerg,DE,40,Super G
1994-01-15,Lucia Medzihradska,SK,2,Slalom
1994-01-15,Heidi Zeller - Baehler,CH,15,Giant Slalom
1994-01-15,Katja Seizinger,DE,160,Downhill
1994-01-15,Diann Roffe Steinrotter,US,7,Super G
1994-01-15,Regine Cavagnoud,FR,14,Super G
1994-01-15,Veronika Stallmaier Wallinger,AT,0,Downhill
1994-01-15,Martina Osterried,DE,6,Downhill
1994-01-15,Shannon Nobis,US,10,Super G
1994-01-15,Florence Masnada,FR,4,Slalom
1994-01-15,Barbara Merlin,IT,16,Downhill
1994-01-15,Alexandra Meissnitzer,AT,24,Downhill
1994-01-15,Michaela Gerg-Leitner,DE,32,Giant Slalom
1994-01-15,Astrid Loedemel,NO,36,Downhill
1994-01-15,Isolde Kostner,IT,16,Downhill
1994-01-15,Hilary Lindh,US,20,Downhill
1994-01-15,Bibiana Perez,IT,130,Super G
1994-01-15,Martina Ertl,DE,28,Giant Slalom
1994-01-15,Regina Haeusl,DE,14,Downhill
1994-01-15,Kerrin Lee- Gartner,CA,67,Super G
1994-01-15,Barbara Sadleder,AT,5,Downhill
1994-01-15,Manuela Heubi,CH,9,Super G
1994-01-15,Miriam Vogt,DE,8,Giant Slalom
1994-01-15,Andrine Flemmen,NO,0,Super G
1994-01-15,Pernilla Wiberg,SE,85,Slalom
1994-01-15,Picabo Street,US,0,Downhill
1994-01-15,Katja Koren,SK,100,Slalom
1994-01-15,Eva Twardokens,US,0,Giant Slalom
1994-01-15,Katharina Gutensohn,DE,32,Super G
1994-01-15,Svetlana Gladishiva,RU,17,Downhill
1994-01-15,Anita Wachter,AT,40,Giant Slalom
1994-01-15,Deborah Compagnoni,IT,45,Giant Slalom
1994-01-15,Anja Haas,AT,0,Downhill
1994-01-15,Michelle Ruthven Mckendry,CA,0,Downhill
1994-01-15,Renate Goetschl,AT,0,Downhill
1994-01-15,Stefanie Schuster,AT,28,Downhill
1994-01-15,Rosi Renoth,DE,22,Downhill
1994-01-15,Anne Berge,NO,0,Giant Slalom
