date,name,ath_country,value,specialty
1995-12-03,Picabo Street,US,100,Downhill
1995-12-03,Nathalie Bouvier,FR,13,Downhill
1995-12-03,Isolde Kostner,IT,40,Downhill
1995-12-03,Anja Haas,AT,8,Downhill
1995-12-03,Anita Wachter,AT,11,Giant Slalom
1995-12-03,Kate Pace,CA,14,Downhill
1995-12-03,Regina Haeusl,DE,0,Downhill
1995-12-03,Warwara Zelenskaja,RU,60,Downhill
1995-12-03,Brigitte Obermoser,AT,0,Downhill
1995-12-03,Martina Ertl,DE,15,Giant Slalom
1995-12-03,Miriam Vogt,DE,5,Super G
1995-12-03,Hilary Lindh,US,20,Downhill
1995-12-03,Lindsey Roberts,CA,0,Downhill
1995-12-03,Katharina Gutensohn,DE,0,Super G
1995-12-03,Hilde Gerg,DE,13,Super G
1995-12-03,Mojca Suhadolc,SK,0,Giant Slalom
1995-12-03,Pernilla Wiberg,SE,16,Slalom
1995-12-03,Megan Gerety,US,7,Downhill
1995-12-03,Michaela Gerg-Leitner,DE,20,Downhill
1995-12-03,Heidi Zurbriggen,CH,22,Downhill
1995-12-03,Tatiana Lebedeva,RU,0,Downhill
1995-12-03,Regine Cavagnoud,FR,2,Downhill
1995-12-03,Tanja Schneider,AT,10,Downhill
1995-12-03,Elena Bresciani,IT,0,Downhill
1995-12-03,Alexandra Meissnitzer,AT,26,Super G
1995-12-03,Heidi Zeller - Baehler,CH,24,Super G
1995-12-03,Linda Ydeskog,SE,0,Slalom
1995-12-03,Merete Fjeldavlie,NO,0,Super G
1995-12-03,Krista Schmidinger,US,2,Downhill
1995-12-03,Renate Goetschl,AT,32,Downhill
1995-12-03,Kjersti Bjorn-roli,US,0,Downhill
1995-12-03,Barbara Merlin,IT,0,Downhill
1995-12-03,Sovrana Welf,IT,0,Downhill
1995-12-03,Madlen Summermatter,CH,45,Giant Slalom
1995-12-03,Morena Gallizio Tescari,IT,0,Slalom
1995-12-03,Marlies Oester,CH,0,Slalom
1995-12-03,Svetlana Novikova,RU,6,Downhill
1995-12-03,Katja Seizinger,DE,80,Super G
1995-12-03,Ingrid Stoeckl,AT,3,Downhill
1995-12-03,Laetitia Dalloz,FR,0,Downhill
1995-12-03,Bibiana Perez,IT,50,Downhill
1995-12-03,Carole Montillet,FR,32,Downhill
1995-12-03,Alessandra Merlin,IT,0,Downhill
1995-12-03,Patrizia Bassis,IT,0,Downhill
1995-12-03,Stefanie Schuster,AT,0,Super G
1995-12-03,Florence Masnada,FR,9,Super G
1995-12-03,Ingeborg H. Marken,NO,4,Super G
1995-12-03,Michaela Dorfmeister,AT,36,Downhill
1995-12-03,Corinne Rey Bellet,CH,0,Giant Slalom
1995-12-03,Catherine Lussier,CA,0,Downhill
1995-12-03,Svetlana Gladishiva,RU,0,Downhill
1995-12-15,Ingrid Stoeckl,AT,19,Downhill
1995-12-15,Krista Schmidinger,US,2,Downhill
1995-12-15,Madlen Summermatter,CH,45,Giant Slalom
1995-12-15,Katharina Gutensohn,DE,2,Super G
1995-12-15,Kate Pace,CA,14,Downhill
1995-12-15,Megan Gerety,US,12,Downhill
1995-12-15,Anita Wachter,AT,47,Giant Slalom
1995-12-15,Ingeborg H. Marken,NO,8,Super G
1995-12-15,Carole Montillet,FR,44,Downhill
1995-12-15,Regine Cavagnoud,FR,2,Downhill
1995-12-15,Barbara Merlin,IT,8,Downhill
1995-12-15,Miriam Vogt,DE,25,Super G
1995-12-15,Heidi Zeller - Baehler,CH,50,Super G
1995-12-15,Kjersti Bjorn-roli,US,0,Downhill
1995-12-15,Sovrana Welf,IT,0,Downhill
1995-12-15,Morena Gallizio Tescari,IT,0,Slalom
1995-12-15,Svetlana Novikova,RU,6,Downhill
1995-12-15,Marlies Oester,CH,0,Slalom
1995-12-15,Laetitia Dalloz,FR,0,Downhill
1995-12-15,Alessandra Merlin,IT,3,Downhill
1995-12-15,Patrizia Bassis,IT,0,Downhill
1995-12-15,Catherine Lussier,CA,0,Downhill
1995-12-15,Corinne Rey Bellet,CH,0,Giant Slalom
1995-12-15,Florence Masnada,FR,9,Super G
1995-12-15,Svetlana Gladishiva,RU,0,Downhill
1995-12-15,Stefanie Schuster,AT,10,Super G
1995-12-15,Nathalie Bouvier,FR,13,Downhill
1995-12-15,Linda Ydeskog,SE,0,Slalom
1995-12-15,Anja Haas,AT,22,Downhill
1995-12-15,Regina Haeusl,DE,0,Downhill
1995-12-15,Brigitte Obermoser,AT,29,Downhill
1995-12-15,Martina Ertl,DE,31,Giant Slalom
1995-12-15,Hilde Gerg,DE,31,Super G
1995-12-15,Mojca Suhadolc,SK,9,Giant Slalom
1995-12-15,Michaela Gerg-Leitner,DE,31,Downhill
1995-12-15,Tatiana Lebedeva,RU,8,Downhill
1995-12-15,Tanja Schneider,AT,10,Downhill
1995-12-15,Merete Fjeldavlie,NO,0,Super G
1995-12-15,Hilary Lindh,US,70,Downhill
1995-12-15,Elena Bresciani,IT,0,Downhill
1995-12-15,Heidi Zurbriggen,CH,102,Downhill
1995-12-15,Warwara Zelenskaja,RU,84,Downhill
1995-12-15,Lindsey Roberts,CA,0,Downhill
1995-12-15,Isolde Kostner,IT,85,Downhill
1995-12-15,Bibiana Perez,IT,56,Downhill
1995-12-15,Michaela Dorfmeister,AT,58,Downhill
1995-12-15,Renate Goetschl,AT,64,Downhill
1995-12-15,Katja Seizinger,DE,180,Super G
1995-12-15,Alexandra Meissnitzer,AT,86,Super G
1995-12-15,Picabo Street,US,140,Downhill
1995-12-15,Pernilla Wiberg,SE,29,Slalom
1995-12-16,Kate Pace,CA,38,Downhill
1995-12-16,Miriam Vogt,DE,26,Super G
1995-12-16,Pernilla Wiberg,SE,41,Slalom
1995-12-16,Katharina Gutensohn,DE,28,Super G
1995-12-16,Hilde Gerg,DE,36,Super G
1995-12-16,Mojca Suhadolc,SK,17,Giant Slalom
1995-12-16,Michaela Gerg-Leitner,DE,31,Downhill
1995-12-16,Heidi Zurbriggen,CH,147,Downhill
1995-12-16,Alexandra Meissnitzer,AT,166,Super G
1995-12-16,Tatiana Lebedeva,RU,30,Downhill
1995-12-16,Megan Gerety,US,12,Downhill
1995-12-16,Martina Ertl,DE,33,Giant Slalom
1995-12-16,Tanja Schneider,AT,30,Downhill
1995-12-16,Heidi Zeller - Baehler,CH,57,Super G
1995-12-16,Svetlana Gladishiva,RU,0,Downhill
1995-12-16,Elena Bresciani,IT,0,Downhill
1995-12-16,Regine Cavagnoud,FR,15,Downhill
1995-12-16,Brigitte Obermoser,AT,45,Downhill
1995-12-16,Linda Ydeskog,SE,0,Slalom
1995-12-16,Regina Haeusl,DE,0,Downhill
1995-12-16,Kjersti Bjorn-roli,US,0,Downhill
1995-12-16,Sovrana Welf,IT,0,Downhill
1995-12-16,Marlies Oester,CH,3,Slalom
1995-12-16,Morena Gallizio Tescari,IT,0,Slalom
1995-12-16,Picabo Street,US,200,Downhill
1995-12-16,Svetlana Novikova,RU,6,Downhill
1995-12-16,Laetitia Dalloz,FR,0,Downhill
1995-12-16,Alessandra Merlin,IT,3,Downhill
1995-12-16,Patrizia Bassis,IT,12,Downhill
1995-12-16,Katja Seizinger,DE,180,Super G
1995-12-16,Catherine Lussier,CA,0,Downhill
1995-12-16,Michaela Dorfmeister,AT,158,Downhill
1995-12-16,Corinne Rey Bellet,CH,9,Giant Slalom
1995-12-16,Florence Masnada,FR,27,Super G
1995-12-16,Stefanie Schuster,AT,14,Super G
1995-12-16,Merete Fjeldavlie,NO,0,Super G
1995-12-16,Lindsey Roberts,CA,0,Downhill
1995-12-16,Nathalie Bouvier,FR,19,Downhill
1995-12-16,Anja Haas,AT,22,Downhill
1995-12-16,Isolde Kostner,IT,85,Downhill
1995-12-16,Renate Goetschl,AT,124,Downhill
1995-12-16,Warwara Zelenskaja,RU,124,Downhill
1995-12-16,Anita Wachter,AT,61,Giant Slalom
1995-12-16,Hilary Lindh,US,106,Downhill
1995-12-16,Bibiana Perez,IT,56,Downhill
1995-12-16,Ingeborg H. Marken,NO,37,Super G
1995-12-16,Krista Schmidinger,US,2,Downhill
1995-12-16,Ingrid Stoeckl,AT,34,Downhill
1995-12-16,Carole Montillet,FR,54,Downhill
1995-12-16,Madlen Summermatter,CH,45,Giant Slalom
1995-12-16,Barbara Merlin,IT,40,Downhill
1996-01-19,Isolde Kostner,IT,145,Downhill
1996-01-19,Heidi Zeller - Baehler,CH,57,Super G
1996-01-19,Nathalie Bouvier,FR,48,Downhill
1996-01-19,Merete Fjeldavlie,NO,0,Super G
1996-01-19,Renate Goetschl,AT,124,Downhill
1996-01-19,Stefanie Schuster,AT,14,Super G
1996-01-19,Svetlana Gladishiva,RU,4,Downhill
1996-01-19,Hilde Gerg,DE,36,Super G
1996-01-19,Florence Masnada,FR,27,Super G
1996-01-19,Elena Bresciani,IT,0,Downhill
1996-01-19,Corinne Rey Bellet,CH,18,Giant Slalom
1996-01-19,Linda Ydeskog,SE,3,Slalom
1996-01-19,Madlen Summermatter,CH,45,Giant Slalom
1996-01-19,Regina Haeusl,DE,15,Downhill
1996-01-19,Pernilla Wiberg,SE,121,Slalom
1996-01-19,Alexandra Meissnitzer,AT,206,Super G
1996-01-19,Krista Schmidinger,US,2,Downhill
1996-01-19,Ingrid Stoeckl,AT,79,Downhill
1996-01-19,Carole Montillet,FR,67,Downhill
1996-01-19,Brigitte Obermoser,AT,45,Downhill
1996-01-19,Heidi Zurbriggen,CH,147,Downhill
1996-01-19,Bibiana Perez,IT,82,Downhill
1996-01-19,Martina Ertl,DE,45,Giant Slalom
1996-01-19,Tatiana Lebedeva,RU,48,Downhill
