date,name,ath_country,value,specialty
1999-10-30,Sonja Nef,CH,100,Giant Slalom
1999-10-30,Karen Putzer,IT,0,Giant Slalom
1999-10-30,Denise Karbon,IT,0,Giant Slalom
1999-10-30,Lilian Kummer,CH,0,Giant Slalom
1999-10-30,Eveline Rohregger,AT,15,Giant Slalom
1999-10-30,Urska Hrovat,SK,0,Slalom
1999-10-30,Maria Jose Rienda Contreras,ES,26,Giant Slalom
1999-10-30,Sabina Panzanini,IT,18,Giant Slalom
1999-10-30,Brigitte Obermoser,AT,8,Giant Slalom
1999-10-30,Isolde Kostner,IT,0,Downhill
1999-10-30,Petra Haltmayr,DE,0,Super G
1999-10-30,Sarah Schleper,US,0,Slalom
1999-10-30,Melanie Lenoir,FR,0,Giant Slalom
1999-10-30,Ainhoa Ibarra Astelarra,ES,4,Giant Slalom
1999-10-30,Noriyo Hiroi,JP,0,Slalom
1999-10-30,Spela Pretnar,SK,0,Slalom
1999-10-30,Leila Piccard,FR,22,Slalom
1999-10-30,Ylva Nowen,SE,0,Slalom
1999-10-30,Maddalena Planatscher,IT,5,Giant Slalom
1999-10-30,Silvia Berger,AT,29,Giant Slalom
1999-10-30,Pernilla Wiberg,SE,14,Downhill
1999-10-30,Stina Hofgard Nilsen,NO,0,Giant Slalom
1999-10-30,Martina Ertl,DE,16,Downhill
1999-10-30,Andrine Flemmen,NO,50,Giant Slalom
1999-10-30,Carolina Ruiz Castillo,ES,0,Giant Slalom
1999-10-30,Ruth Kuendig,CH,0,Downhill
1999-10-30,Anja Paerson,SE,0,Slalom
1999-10-30,Janica Kostelic,HR,10,Slalom
1999-10-30,Birgit Heeb-Batliner,LI,11,Giant Slalom
1999-10-30,Christiane Mitterwallner,AT,13,Giant Slalom
1999-10-30,Anna Ottosson,SE,80,Giant Slalom
1999-10-30,Natasa Bokal,SK,0,Slalom
1999-10-30,Renate Goetschl,AT,40,Super G
1999-10-30,Julie Langevin,CA,0,Giant Slalom
1999-10-30,Stefanie Schuster,AT,3,Downhill
1999-10-30,Tanja Schneider,AT,0,Super G
1999-10-30,Allison Forsyth,CA,45,Giant Slalom
1999-10-30,Sylviane Berthod,CH,7,Giant Slalom
1999-10-30,Ingrid Jacquemod,FR,0,Downhill
1999-10-30,Corinne Rey Bellet,CH,36,Downhill
1999-10-30,Mojca Suhadolc,SK,0,Super G
1999-10-30,Kristina Koznick,US,0,Slalom
1999-10-30,Silke Bachmann,IT,24,Giant Slalom
1999-10-30,Kristina Duvillard,FR,12,Giant Slalom
1999-10-30,Melanie Suchet,FR,0,Super G
1999-10-30,Alexandra Meissnitzer,AT,0,Giant Slalom
1999-10-30,Nicole Gius,IT,0,Giant Slalom
1999-10-30,Christel Pascal,FR,0,Slalom
1999-10-30,Sonia Vierin,IT,0,Giant Slalom
1999-10-30,Janette Hargin,SE,0,Combined
1999-10-30,Hilde Gerg,DE,0,Super G
1999-10-30,Selina Heregger,AT,0,Super G
1999-10-30,Regine Cavagnoud,FR,20,Downhill
1999-10-30,Spela Bracun,SK,0,Downhill
1999-10-30,Susanne Ekman,SE,0,Giant Slalom
1999-10-30,Ana Galindo Santolaria,ES,2,Giant Slalom
1999-10-30,Tiziana De Martin,IT,0,Giant Slalom
1999-10-30,Annemarie Gerg,DE,0,Slalom
1999-10-30,Martina Fortkord,SE,6,Giant Slalom
1999-10-30,Michaela Dorfmeister,AT,32,Giant Slalom
1999-10-30,Fujiko Sekino,FR,0,Super G
1999-10-30,Alenka Dovzan,SK,0,Slalom
1999-10-30,Caroline Lalive,US,0,Slalom
1999-10-30,Anita Wachter,AT,60,Giant Slalom
1999-10-30,Karin Koellerer,AT,0,Slalom
1999-10-30,Merete Fjeldavlie,NO,9,Super G
1999-11-19,Karin Koellerer,AT,0,Slalom
1999-11-19,Stefanie Schuster,AT,3,Downhill
1999-11-19,Selina Heregger,AT,0,Super G
1999-11-19,Leila Piccard,FR,22,Slalom
1999-11-19,Julie Langevin,CA,0,Giant Slalom
1999-11-19,Renate Goetschl,AT,72,Super G
1999-11-19,Spela Bracun,SK,0,Downhill
1999-11-19,Ylva Nowen,SE,20,Slalom
1999-11-19,Mojca Suhadolc,SK,45,Super G
1999-11-19,Susanne Ekman,SE,0,Giant Slalom
1999-11-19,Fujiko Sekino,FR,5,Super G
1999-11-19,Janica Kostelic,HR,10,Slalom
1999-11-19,Ana Galindo Santolaria,ES,2,Giant Slalom
1999-11-19,Annemarie Gerg,DE,0,Slalom
1999-11-19,Sonia Vierin,IT,0,Giant Slalom
1999-11-19,Anja Paerson,SE,50,Slalom
1999-11-19,Andrine Flemmen,NO,58,Giant Slalom
1999-11-19,Tiziana De Martin,IT,0,Giant Slalom
1999-11-19,Ruth Kuendig,CH,0,Downhill
1999-11-19,Kristina Duvillard,FR,22,Giant Slalom
1999-11-19,Kristina Koznick,US,4,Slalom
1999-11-19,Martina Ertl,DE,16,Downhill
1999-11-19,Martina Fortkord,SE,6,Giant Slalom
1999-11-19,Tanja Schneider,AT,0,Super G
1999-11-19,Christiane Mitterwallner,AT,31,Giant Slalom
1999-11-19,Sylviane Berthod,CH,25,Giant Slalom
1999-11-19,Hilde Gerg,DE,0,Super G
1999-11-19,Petra Haltmayr,DE,0,Super G
1999-11-19,Isolde Kostner,IT,26,Downhill
1999-11-19,Sabina Panzanini,IT,21,Giant Slalom
1999-11-19,Merete Fjeldavlie,NO,9,Super G
1999-11-19,Silke Bachmann,IT,26,Giant Slalom
1999-11-19,Maria Jose Rienda Contreras,ES,55,Giant Slalom
1999-11-19,Alexandra Meissnitzer,AT,15,Giant Slalom
1999-11-19,Urska Hrovat,SK,0,Slalom
1999-11-19,Ainhoa Ibarra Astelarra,ES,4,Giant Slalom
1999-11-19,Eveline Rohregger,AT,37,Giant Slalom
1999-11-19,Nicole Gius,IT,12,Giant Slalom
1999-11-19,Denise Karbon,IT,0,Giant Slalom
1999-11-19,Melanie Lenoir,FR,0,Giant Slalom
1999-11-19,Christel Pascal,FR,0,Slalom
1999-11-19,Maddalena Planatscher,IT,15,Giant Slalom
1999-11-19,Alenka Dovzan,SK,7,Slalom
1999-11-19,Caroline Lalive,US,0,Slalom
1999-11-19,Pernilla Wiberg,SE,50,Downhill
1999-11-19,Corinne Rey Bellet,CH,36,Downhill
1999-11-19,Janette Hargin,SE,11,Combined
1999-11-19,Spela Pretnar,SK,6,Slalom
1999-11-19,Stina Hofgard Nilsen,NO,0,Giant Slalom
1999-11-19,Ingrid Jacquemod,FR,0,Downhill
1999-11-19,Melanie Suchet,FR,0,Super G
1999-11-19,Sarah Schleper,US,0,Slalom
1999-11-19,Lilian Kummer,CH,0,Giant Slalom
1999-11-19,Silvia Berger,AT,53,Giant Slalom
1999-11-19,Carolina Ruiz Castillo,ES,13,Giant Slalom
1999-11-19,Noriyo Hiroi,JP,0,Slalom
1999-11-19,Anna Ottosson,SE,120,Giant Slalom
1999-11-19,Sonja Nef,CH,114,Giant Slalom
1999-11-19,Anita Wachter,AT,60,Giant Slalom
1999-11-19,Birgit Heeb-Batliner,LI,11,Giant Slalom
1999-11-19,Allison Forsyth,CA,45,Giant Slalom
1999-11-19,Regine Cavagnoud,FR,120,Downhill
1999-11-19,Brigitte Obermoser,AT,8,Giant Slalom
1999-11-19,Michaela Dorfmeister,AT,92,Giant Slalom
1999-11-19,Natasa Bokal,SK,1,Slalom
1999-11-19,Karen Putzer,IT,80,Giant Slalom
1999-12-04,Selina Heregger,AT,0,Super G
1999-12-04,Annemarie Gerg,DE,0,Slalom
1999-12-04,Noriyo Hiroi,JP,0,Slalom
1999-12-04,Ingrid Jacquemod,FR,0,Downhill
1999-12-04,Karin Koellerer,AT,0,Slalom
1999-12-04,Mojca Suhadolc,SK,45,Super G
1999-12-04,Stina Hofgard Nilsen,NO,0,Giant Slalom
1999-12-04,Tiziana De Martin,IT,5,Giant Slalom
1999-12-04,Caroline Lalive,US,8,Slalom
1999-12-04,Sylviane Berthod,CH,25,Giant Slalom
1999-12-04,Renate Goetschl,AT,117,Super G
1999-12-04,Tanja Schneider,AT,16,Super G
1999-12-04,Merete Fjeldavlie,NO,9,Super G
1999-12-04,Fujiko Sekino,FR,5,Super G
1999-12-04,Allison Forsyth,CA,74,Giant Slalom
1999-12-04,Brigitte Obermoser,AT,32,Giant Slalom
1999-12-04,Julie Langevin,CA,0,Giant Slalom
1999-12-04,Natasa Bokal,SK,1,Slalom
1999-12-04,Melanie Suchet,FR,0,Super G
1999-12-04,Isolde Kostner,IT,50,Downhill
1999-12-04,Stefanie Schuster,AT,3,Downhill
1999-12-04,Petra Haltmayr,DE,0,Super G
1999-12-04,Kristina Duvillard,FR,40,Giant Slalom
1999-12-04,Maria Jose Rienda Contreras,ES,55,Giant Slalom
1999-12-04,Melanie Lenoir,FR,11,Giant Slalom
1999-12-04,Anna Ottosson,SE,120,Giant Slalom
1999-12-04,Spela Pretnar,SK,6,Slalom
1999-12-04,Eveline Rohregger,AT,37,Giant Slalom
1999-12-04,Sabina Panzanini,IT,21,Giant Slalom
1999-12-04,Urska Hrovat,SK,0,Slalom
1999-12-04,Lilian Kummer,CH,0,Giant Slalom
1999-12-04,Ana Galindo Santolaria,ES,5,Giant Slalom
1999-12-04,Sonja Nef,CH,146,Giant Slalom
1999-12-04,Corinne Rey Bellet,CH,36,Downhill
1999-12-04,Leila Piccard,FR,22,Slalom
1999-12-04,Denise Karbon,IT,15,Giant Slalom
1999-12-04,Ylva Nowen,SE,29,Slalom
1999-12-04,Sonia Vierin,IT,0,Giant Slalom
1999-12-04,Kristina Koznick,US,24,Slalom
1999-12-04,Silvia Berger,AT,93,Giant Slalom
1999-12-04,Maddalena Planatscher,IT,51,Giant Slalom
1999-12-04,Spela Bracun,SK,0,Downhill
1999-12-04,Ainhoa Ibarra Astelarra,ES,4,Giant Slalom
1999-12-04,Pernilla Wiberg,SE,50,Downhill
1999-12-04,Alexandra Meissnitzer,AT,15,Giant Slalom
1999-12-04,Karen Putzer,IT,94,Giant Slalom
1999-12-04,Christiane Mitterwallner,AT,57,Giant Slalom
1999-12-04,Anita Wachter,AT,140,Giant Slalom
1999-12-04,Sarah Schleper,US,13,Slalom
1999-12-04,Alenka Dovzan,SK,7,Slalom
1999-12-04,Hilde Gerg,DE,7,Super G
1999-12-04,Nicole Gius,IT,12,Giant Slalom
1999-12-04,Susanne Ekman,SE,0,Giant Slalom
1999-12-04,Martina Fortkord,SE,6,Giant Slalom
1999-12-04,Martina Ertl,DE,20,Downhill
1999-12-04,Christel Pascal,FR,0,Slalom
