date,name,ath_country,value,specialty
2008-10-25,Kathrin Zettel,AT,100,Giant Slalom
2008-10-25,Monika Bergmann,DE,0,Slalom
2008-10-25,Jelena Lolovic,RS,0,Combined
2008-10-25,Nina Loeseth,NO,0,Slalom
2008-10-25,Federica Brignone,IT,0,Combined
2008-10-25,Anastasiya Skryabina,UA,0,Combined
2008-10-25,Gina Stechert,DE,0,Downhill
2008-10-25,Laisan Rayanova,RU,0,Combined
2008-10-25,Emelie Wikstroem,SE,0,Combined
2008-10-25,Nika Fleiss,HR,0,Slalom
2008-10-25,Mateja Robnik,SK,8,Giant Slalom
2008-10-25,Monica Huebner,DE,0,Combined
2008-10-25,Jessica C Kelley,US,0,Combined
2008-10-25,Martina Schild,CH,0,Downhill
2008-10-25,Jessica Lindell-Vikarby,SE,0,Super G
2008-10-25,Emilie Desforges,CA,0,Combined
2008-10-25,Alexandra Daum,AT,0,Slalom
2008-10-25,Anemone Marmottan,FR,0,Combined
2008-10-25,Leyre Morlans,ES,0,Combined
2008-10-25,Chemmy Alcott,GB,26,Giant Slalom
2008-10-25,Fabienne Suter,CH,0,Super G
2008-10-25,Eva Kurfuerstova,CZ,0,Combined
2008-10-25,Sandra Gini,CH,0,Slalom
2008-10-25,Anne Sophie Barthet,FR,0,Combined
2008-10-25,Marie-Michele Gagnon,CA,0,Slalom
2008-10-25,Sandrine Aubert,FR,0,Slalom
2008-10-25,Anja Blieninger,DE,0,Combined
2008-10-25,Karen Putzer,IT,0,Giant Slalom
2008-10-25,Francesca Marsaglia,IT,0,Combined
2008-10-25,Jessica Honkonen,FI,0,Combined
2008-10-25,Larisa Yurkiw,CA,0,Downhill
2008-10-25,Shona Rubens,CA,0,Combined
2008-10-25,Regina Mader Sterz,AT,0,Super G
2008-10-25,Barbara Wirth,DE,0,Combined
2008-10-25,Andrea Fischbacher,AT,60,Downhill
2008-10-25,Kathrin Triendl,AT,0,Combined
2008-10-25,Petra Zakourilova,CZ,0,Combined
2008-10-25,Stefanie Koehle,AT,0,Giant Slalom
2008-10-25,Marie-Pier Prefontaine,CA,0,Combined
2008-10-25,Maria Pietilae-Holmner,SE,40,Slalom
2008-10-25,Isabelle Stiepel,DE,0,Combined
2008-10-25,Carolin Fernsebner,DE,0,Combined
2008-10-25,Verena Stuffer,IT,0,Downhill
2008-10-25,Agnieszka Gasienica Daniel,PL,5,Giant Slalom
2008-10-25,Irene Curtoni,IT,0,Slalom
2008-10-25,Stacey J Cook,US,0,Combined
2008-10-25,Maria Riesch Hoefl,DE,20,Slalom
2008-10-25,Genevieve Simard,CA,0,Giant Slalom
2008-10-25,Stefanie Moser,AT,0,Combined
2008-10-25,Anja Paerson,SE,36,Super G
2008-10-25,Karin Hackl,AT,0,Giant Slalom
2008-10-25,Katarzyna Karasinska,PL,0,Slalom
2008-10-25,Camilla Alfieri,IT,16,Giant Slalom
2008-10-25,Clothilde Weyrich,FR,0,Combined
2008-10-25,Ana Drev,SK,6,Giant Slalom
2008-10-25,Christina Geiger,DE,0,Slalom
2008-10-25,Marine Gauthier,FR,0,Downhill
2008-10-25,Tanja Poutiainen,FI,80,Giant Slalom
2008-10-25,Nina Perner,DE,0,Slalom
2008-10-25,Anne Marie Mueller,NO,0,Slalom
2008-10-25,Helena Prosteva,RU,0,Combined
2008-10-25,Giulia Gianesini,IT,0,Giant Slalom
2008-10-25,Dominique Gisin,CH,0,Downhill
2008-10-25,Olivia Bertrand,FR,0,Giant Slalom
2008-10-25,Kaylin L Richardson,US,0,Combined
2008-10-25,Denise Feierabend,CH,0,Slalom
2008-10-25,Tina Maze,SK,0,Giant Slalom
2008-10-25,Enrica Cipriani,IT,0,Super G
2008-10-25,Sarah Schleper,US,0,Giant Slalom
2008-10-25,Margot Bailet,FR,0,Combined
2008-10-25,Marianne Abderhalden,CH,0,Slalom
2008-10-25,Veronica Smed,SE,12,Giant Slalom
2008-10-25,Keely Blair Kelleher,US,0,Super G
2008-10-25,Eva-Maria Brem,AT,0,Giant Slalom
2008-10-25,Christina Staudinger,AT,0,Combined
2008-10-25,Karoline Trojer,IT,0,Combined
2008-10-25,Megan McJames,US,18,Giant Slalom
2008-10-25,Lara Gut,CH,45,Giant Slalom
2008-10-25,Simone Streng,AT,0,Slalom
2008-10-25,Ingrid Rumpfhuber,AT,0,Downhill
2008-10-25,Angelika Gruener,IT,0,Combined
2008-10-25,Hailey Duke,US,0,Slalom
2008-10-25,Emma Happonen,FI,0,Combined
2008-10-25,Nadja Kamer,CH,0,Super G
2008-10-25,Frida Hansdotter,SE,13,Slalom
2008-10-25,Macarena Simari-Birkner,AR,0,Combined
2008-10-25,Ingrid Jacquemod,FR,7,Super G
2008-10-25,Annalisa Ceresa,IT,0,Combined
2008-10-25,Taina Barioz,FR,0,Giant Slalom
