date,name,ath_country,value,specialty
1970-12-17,Patrick Russel,FR,25,Giant Slalom
1970-12-17,Jim Hunter,CA,0,Giant Slalom
1970-12-17,David Zwilling,AT,0,Giant Slalom
1970-12-17,Jean Noel Augert,FR,20,Slalom
1970-12-17,Josef Heckelmiller,DE,1,Giant Slalom
1970-12-17,Werner Bleiner,AT,4,Giant Slalom
1970-12-17,Karl Schranz,AT,8,Downhill
1970-12-17,Josef Loidl,AT,2,Giant Slalom
1970-12-17,Adolf Roesti,CH,0,Giant Slalom
1970-12-17,Gustav Thoeni,IT,15,Slalom
1970-12-17,Christian Neureuther,DE,0,Slalom
1970-12-17,Alfred Matt,AT,0,Slalom
1970-12-17,Alain Penz,FR,6,Slalom
1970-12-17,Andrej Bachleda,PL,0,Slalom
1970-12-17,Roger Rossat-Mignod,FR,0,Giant Slalom
1970-12-17,Reinhard Tritscher,AT,0,Giant Slalom
1970-12-17,Max Rieger,DE,0,Slalom
1970-12-17,Harald Rofner,AT,0,Slalom
1970-12-17,Heini Messner,AT,0,Slalom
1970-12-17,Eric Poulsen,US,3,Giant Slalom
1970-12-17,Bernard Russi,CH,0,Downhill
1970-12-17,Rick Chaffee,US,0,Slalom
1970-12-17,Henri Duvillard,FR,11,Giant Slalom
1970-12-17,Edmund Bruggmann,CH,0,Giant Slalom
1971-01-05,Henri Duvillard,FR,11,Giant Slalom
1971-01-05,Jean Noel Augert,FR,26,Slalom
1971-01-05,Eric Poulsen,US,3,Giant Slalom
1971-01-05,Edmund Bruggmann,CH,25,Giant Slalom
1971-01-05,Alain Penz,FR,9,Slalom
1971-01-05,Andrej Bachleda,PL,0,Slalom
1971-01-05,Werner Bleiner,AT,4,Giant Slalom
1971-01-05,David Zwilling,AT,15,Giant Slalom
1971-01-05,Roger Rossat-Mignod,FR,1,Giant Slalom
1971-01-05,Gustav Thoeni,IT,15,Slalom
1971-01-05,Adolf Roesti,CH,8,Giant Slalom
1971-01-05,Reinhard Tritscher,AT,0,Giant Slalom
1971-01-05,Alfred Matt,AT,0,Slalom
1971-01-05,Max Rieger,DE,4,Slalom
1971-01-05,Josef Loidl,AT,4,Giant Slalom
1971-01-05,Josef Heckelmiller,DE,12,Giant Slalom
1971-01-05,Karl Schranz,AT,8,Downhill
1971-01-05,Jim Hunter,CA,0,Giant Slalom
