date,name,ath_country,value,specialty
2010-11-14,Jean-Baptiste Grange,FR,100,Slalom
2010-11-14,Arjan Wanders,NL,0,Combined
2010-11-14,Thomas Frey,FR,0,Giant Slalom
2010-11-14,Naoki Yuasa,JP,0,Slalom
2010-11-14,Christoph Dreier,AT,0,Slalom
2010-11-14,Roland Leitinger,AT,0,Combined
2010-11-14,Truls Ove Karlsen,NO,0,Giant Slalom
2010-11-14,Stephan Goergl,AT,0,Super G
2010-11-14,Reto Schmidiger,CH,0,Slalom
2010-11-14,Tim Jitloff,US,0,Combined
2010-11-14,Samy Blanc,FR,0,Combined
2010-11-14,Paolo Pangrazzi,IT,0,Combined
2010-11-14,Ambrosi Hoffmann,CH,0,Downhill
2010-11-14,Gauthier De Tessieres,FR,0,Giant Slalom
2010-11-14,Jan Hudec,CA,0,Downhill
2010-11-14,Manuel Osborne-Paradis,CA,0,Downhill
2010-11-14,Justin Murisier,CH,0,Slalom
2010-11-14,Robbie Dixon,CA,0,Super G
2010-11-14,Matteo Marsaglia,IT,0,Combined
2010-11-14,Markus Vogel,CH,0,Slalom
2010-11-14,Manuel Wieser,AT,0,Combined
2010-11-14,Bjoern Sieber,AT,0,Combined
2010-11-14,Marcus Sandell,FI,0,Giant Slalom
2010-11-14,Sandro Viletta,CH,0,Giant Slalom
2010-11-14,Jens Byggmark,SE,11,Slalom
2010-11-14,Matej Falat,SK,0,Combined
2010-11-14,Markus Larsson,SE,16,Slalom
2010-11-14,Davide Simoncelli,IT,0,Giant Slalom
2010-11-14,Patrik Jaerbyn,SE,0,Super G
2010-11-14,Frederic Berthold,AT,0,Combined
2010-11-14,Leif Kristian Haugen,NO,3,Giant Slalom
2010-11-14,Steven Nyman,US,0,Downhill
2010-11-14,Urs Imboden,MD,0,Slalom
2010-11-14,Patrick Staudacher,IT,0,Super G
2010-11-14,Jean Philippe Roy,CA,0,Giant Slalom
2010-11-14,Hans Grugger,AT,0,Downhill
2010-11-14,Filip Trejbal,CZ,14,Slalom
2010-11-14,Erik Read,CA,0,Combined
2010-11-14,Benjamin Thomsen,CA,0,Downhill
2010-11-14,Patrick Thaler,IT,0,Slalom
2010-11-14,Bostjan Kline,SK,0,Downhill
2010-11-14,Giovanni Borsotti,IT,0,Giant Slalom
2010-11-14,Andreas Romar,FI,0,Combined
2010-11-14,Brice Roger,FR,0,Combined
2010-11-14,Alexander Ploner,IT,0,Giant Slalom
2010-11-14,Lars Elton Myhre,NO,0,Slalom
2010-11-14,Marc Gisin,CH,0,Downhill
2010-11-14,Josef Ferstl,DE,0,Combined
2010-11-14,Tin Siroki,HR,0,Combined
2010-11-14,Brad Spence,CA,15,Slalom
2010-11-14,Louis-Pierre Helie,CA,0,Downhill
2010-11-14,Fritz Dopfer,DE,18,Slalom
2010-11-14,Mauro Caviezel,CH,0,Combined
2010-11-14,Stefano Gross,IT,0,Slalom
2010-11-14,Gasper Markic,SK,0,Downhill
2010-11-14,Matic Skube,SK,0,Slalom
2010-11-14,Tim Cafe,NZ,0,Combined
2010-11-14,Trevor White,CA,12,Slalom
2010-11-14,Maxime Tissot,FR,0,Slalom
2010-11-14,Tommy Ford,US,0,Super G
2010-11-14,Ryan Semple,CA,0,Combined
2010-11-14,Benjamin Griffin,NZ,0,Combined
2010-11-14,Svetoslav Georgiev,BG,0,Combined
2010-11-14,Hans Olsson,SE,0,Downhill
2010-11-14,Mitja Valencic,SK,5,Slalom
2010-11-14,Matts Olsson,SE,0,Giant Slalom
2010-11-14,Reinfried Herbst,AT,0,Slalom
2010-11-14,Tim Luescher,CH,0,Combined
2010-11-14,Felix Neureuther,DE,0,Slalom
2010-11-14,Natko Zrncic-Dim,HR,0,Combined
