date,name,ath_country,value
2004-10-23,Anja Paerson,SE,100
2004-10-23,Trine Bakke Rognmo,NO,0
2004-10-23,Anne Laure Givelet,FR,0
2004-10-23,Nika Fleiss,HR,0
2004-10-23,Janette Hargin,SE,0
2004-10-23,Sarah Schaedler,LI,0
2004-10-23,Frida Hansdotter,SE,0
2004-10-23,Lauren Ross,US,0
2004-10-23,Elisabeth Goergl,AT,20
2004-10-23,Laurence Lazier,FR,0
2004-10-23,Agnieszka Gasienica Daniel,PL,0
2004-10-23,Chemmy Alcott,GB,0
2004-10-23,Sophia Akhmeteli,GE,0
2004-10-23,Olesja Alieva,RU,0
2004-10-23,Silke Bachmann,IT,0
2004-10-23,Sonja Nef,CH,22
2004-10-23,Emmanuelle Colomban,FR,0
2004-10-23,Julie Duvillard,FR,0
2004-10-23,Karen Putzer,IT,26
2004-10-23,Fabienne Suter,CH,0
2004-10-23,Kirsten L Clark,US,0
2004-10-23,Kathrin Zettel,AT,0
2004-10-23,Lindsey Vonn,US,0
2004-10-23,Line Viken,NO,0
2004-10-23,Maria Riesch Hoefl,DE,18
2004-10-23,Sophie Soelling,DK,0
2004-10-23,Gail Kelly,CA,24
2004-10-23,Manuela Moelgg,IT,0
2004-10-23,Alexandra Meissnitzer,AT,0
2004-10-23,Anna Goodman,CA,0
2004-10-23,Annemarie Gerg,DE,0
2004-10-23,Allison Forsyth,CA,0
2004-10-23,Audrey Peltier,FR,0
2004-10-23,Libby Ludlow,US,0
2004-10-23,Emily Brydon,CA,0
2004-10-23,Hilde Gerg,DE,0
2004-10-23,Kaylin L Richardson,US,0
2004-10-23,Carole Montillet,FR,0
2004-10-23,Silvia Berger,AT,14
2004-10-23,Renate Goetschl,AT,0
2004-10-23,Michaela Kirchgasser,AT,0
2004-10-23,Marlies Schild,AT,0
2004-10-23,Sophie Splawinski,CA,0
2004-10-23,Karina Birkelund,NO,13
2004-10-23,Eveline Rohregger,AT,12
2004-10-23,Ana Drev,SK,6
2004-10-23,Fraenzi Aufdenblatten,CH,11
2004-10-23,Nicole Gius,IT,11
2004-10-23,Genevieve Simard,CA,7
2004-10-23,Barbara Kleon,IT,9
2004-10-23,Nadia Fanchini,IT,5
2004-10-23,Dagmara Krzyzynska,PL,0
2004-10-23,Lucia Recchia,IT,0
2004-10-23,Carolina Ruiz Castillo,ES,0
2004-10-23,Therese Borssen,SE,0
2004-10-23,Christina Lustenberger,CA,0
2004-10-23,Britt Janyk,CA,0
2004-10-23,Sarka Strachova Zahrobska,CZ,0
2004-10-23,Nadia Styger,CH,0
2004-10-23,Julia Mancuso,US,16
2004-10-23,Ingrid Jacquemod,FR,0
2004-10-23,Kathrin Hoelzl,DE,0
2004-10-23,Brigitte Acton,CA,0
2004-10-23,Jessica Lindell-Vikarby,SE,0
2004-10-23,Daniela Merighetti,IT,0
2004-10-23,Marlies Oester,CH,0
2004-10-23,Maria Pietilae-Holmner,SE,15
2004-10-23,Caroline Lalive,US,0
2004-10-23,Maddalena Planatscher,IT,0
2004-10-23,Petra Haltmayr,DE,0
2004-10-23,Tina Maze,SK,0
2004-10-23,Sofie Olofsson,SE,0
2004-10-23,Monika Bergmann,DE,0
2004-10-23,Elena Fanchini,IT,0
2004-10-23,Maria Belen Simari-Birkner,AR,0
2004-10-23,Macarena Simari-Birkner,AR,0
2004-10-23,Anna Ottosson,SE,40
2004-10-23,Lana Grandovec,SK,0
2004-10-23,Noriyo Hiroi,JP,0
2004-10-23,Mojca Suhadolc,SK,0
2004-10-23,Camilla Alfieri,IT,0
2004-10-23,Andreja Rataj,SK,0
2004-10-23,Noora Haterma,FI,0
2004-10-23,Andrea Fischbacher,AT,0
2004-10-23,Daniela Ceccarelli,IT,0
2004-10-23,Martina Ertl,DE,45
2004-10-23,Bryna McCarty,US,0
2004-10-23,Kristina Koznick,US,50
2004-10-23,Jessica C Kelley,US,0
2004-10-23,Maria Jose Rienda Contreras,ES,60
2004-10-23,Tanja Poutiainen,FI,80
2004-10-23,Emilie Desforges,CA,0
2004-10-23,Isa Tripard,FR,0
2004-10-23,Resi Stiegler,US,8
2004-10-23,Michaela Dorfmeister,AT,36
2004-10-23,Lisa Bremseth,NO,0
2004-10-23,Mateja Robnik,SK,0
2004-10-23,Andrine Flemmen,NO,0
2004-10-23,Nicole Hosp,AT,29
2004-10-23,Jessica Walter,LI,0
2004-10-23,Ana Jelusic,HR,0
2004-10-23,Lucie Hrstkova,CZ,0
2004-10-23,Christel Pascal,FR,0
2004-10-23,Isolde Kostner,IT,0
2004-10-23,Sarah Schleper,US,0
2004-10-23,Ana Kobal,SK,0
2004-10-23,Marion Bertrand,FR,0
2004-10-23,Giulia Gianesini,IT,0
2004-10-23,Jelena Lolovic,RS,0
2004-10-23,Verena Stuffer,IT,0
2004-10-23,Laure Pequegnot,FR,0
2004-10-23,Kelly Vanderbeek,CA,0
2004-10-23,Janica Kostelic,HR,32
2004-10-23,Anja Blieninger,DE,0
2004-11-26,Chemmy Alcott,GB,0
2004-11-26,Sarka Strachova Zahrobska,CZ,0
2004-11-26,Sophia Akhmeteli,GE,0
2004-11-26,Christina Lustenberger,CA,0
2004-11-26,Silke Bachmann,IT,6
2004-11-26,Britt Janyk,CA,0
2004-11-26,Emmanuelle Colomban,FR,0
2004-11-26,Julie Duvillard,FR,0
2004-11-26,Annemarie Gerg,DE,0
2004-11-26,Agnieszka Gasienica Daniel,PL,0
2004-11-26,Olesja Alieva,RU,0
2004-11-26,Anna Goodman,CA,0
2004-11-26,Manuela Moelgg,IT,0
2004-11-26,Audrey Peltier,FR,0
2004-11-26,Kristina Koznick,US,57
2004-11-26,Hilde Gerg,DE,0
2004-11-26,Laurence Lazier,FR,0
2004-11-26,Sophie Soelling,DK,0
2004-11-26,Line Viken,NO,0
2004-11-26,Emily Brydon,CA,0
2004-11-26,Lindsey Vonn,US,0
