date,name,ath_country,value
2005-12-11,Anja Paerson,SE,100
2005-12-11,Maria Jose Rienda Contreras,ES,0
2005-12-11,Frida Hansdotter,SE,0
2005-12-11,Carolin Fernsebner,DE,0
2005-12-11,Nika Fleiss,HR,11
2005-12-11,Aleksandra Klus,PL,0
2005-12-11,Maria Kirkova,BG,0
2005-12-11,Anne Marie Mueller,NO,0
2005-12-11,Lene Loeseth,NO,0
2005-12-11,Camilla Borsotti,IT,0
2005-12-11,Yvonne Schnock,HR,0
2005-12-11,Manuela Moelgg,IT,10
2005-12-11,Anna Ottosson,SE,10
2005-12-11,Eva-Maria Brem,AT,0
2005-12-11,Kathrin Triendl,AT,0
2005-12-11,Jessica C Kelley,US,0
2005-12-11,Fanny Chmelar,DE,0
2005-12-11,Sarah Schleper,US,0
2005-12-11,Sarka Strachova Zahrobska,CZ,8
2005-12-11,Daniela Zeiser,AT,0
2005-12-11,Maria Belen Simari-Birkner,AR,0
2005-12-11,Alena Kasakova,RU,0
2005-12-11,Monja Urbic,SK,0
2005-12-11,Dagmara Krzyzynska,PL,0
2005-12-11,Aline Bonjour,CH,0
2005-12-11,Julia Mancuso,US,12
2005-12-11,Christel Pascal,FR,0
2005-12-11,Henna Raita,FI,16
2005-12-11,Annalisa Ceresa,IT,15
2005-12-11,Tii-Maria Romar,FI,0
2005-12-11,Michaela Dorfmeister,AT,0
2005-12-11,Martina Ertl,DE,14
2005-12-11,Noora Haterma,FI,0
2005-12-11,Emmanuelle Colomban,FR,0
2005-12-11,Jessica Puenchera,CH,0
2005-12-11,Malin Huldtin,SE,0
2005-12-11,Tiiu Nurmberg,EE,0
2005-12-11,Claire Dautherives,FR,0
2005-12-11,Kirsten McGarry,IE,0
2005-12-11,Marina Nigg,LI,0
2005-12-11,Noriyo Hiroi,JP,13
2005-12-11,Tamara Vidoni,FR,0
2005-12-11,Nina Loeseth,NO,0
2005-12-11,Sanni Leinonen,FI,0
2005-12-11,Susanne Riesch,DE,0
2005-12-11,Kristina Hultdin,SE,0
2005-12-11,Ana Drev,SK,0
2005-12-11,Jessica Lindell-Vikarby,SE,0
2005-12-11,Lucie Zikova,CZ,0
2005-12-11,Line Viken,NO,7
2005-12-11,Macarena Simari-Birkner,AR,0
2005-12-11,Andrea Fischbacher,AT,0
2005-12-11,Lisa Bremseth,NO,0
2005-12-11,Hedda Berntsen,NO,0
2005-12-11,Petra Zakourilova,CZ,0
2005-12-11,Kumiko Kashiwagi,JP,0
2005-12-11,Sandra Gini,CH,0
2005-12-11,Mizue Hoshi,JP,0
2005-12-11,Britt Janyk,CA,0
2005-12-11,Karen Persyn,BE,0
2005-12-11,Kaylin L Richardson,US,0
2005-12-11,Anja Blieninger,DE,0
2005-12-11,Alexandra Coletti,MC,0
2005-12-11,Matea Ferk,HR,0
2005-12-11,Anna Goodman,CA,0
2005-12-11,Rabea Grand,CH,0
2005-12-11,Sterling Grant,US,0
2005-12-11,Janette Hargin,SE,0
2005-12-11,Jenni T Lathrop,US,0
2005-12-11,Tina Maze,SK,0
2005-12-11,Daniela Merighetti,IT,0
