date,name,ath_country,value
2017-12-03,Tina Weirather,LI,100
2017-12-03,Carmina Pallas,AD,0
2017-12-03,Lin Ivarsson,SE,0
2017-12-03,Ania Monica Cail,RO,0
2017-12-03,Noelle Barahona,CL,0
2017-12-03,Marie Massios,FR,0
2017-12-03,Cornelia Huetter,AT,32
2017-12-03,Laura Gauche,FR,13
2017-12-03,Jasmina Suter,CH,0
2017-12-03,Lisa Hoernblad,SE,0
2017-12-03,Julia Mancuso,US,0
2017-12-03,Barbara Kantorova,SK,0
2017-12-03,Leona Popovic,HR,0
2017-12-03,Sabrina Simader,KE,0
2017-12-03,Jasmine Flury,CH,36
2017-12-03,Viktoria Rebensburg,DE,20
2017-12-03,Maryna Gasienica Daniel,PL,0
2017-12-03,Maren Skjoeld,NO,0
2017-12-03,Cande Moreno Becerra,AD,0
2017-12-03,Anne Sophie Barthet,FR,0
2017-12-03,Sofia Goggia,IT,29
2017-12-03,Nadia Fanchini,IT,15
2017-12-03,Breezy Johnson,US,6
2017-12-03,Stephanie Venier,AT,22
2017-12-03,Michelle Gisin,CH,18
2017-12-03,Tamara Tippler,AT,24
2017-12-03,Katerina Paulathova,CZ,0
2017-12-03,Nathalie Groebli,CH,0
2017-12-03,Nevena Ignjatovic,RS,0
2017-12-03,Macarena Simari-Birkner,AR,0
2017-12-03,Cara Brown,GB,0
2017-12-03,Ragnhild Mowinckel,NO,16
2017-12-03,Ana Bucik,SK,0
2017-12-03,Corinne Suter,CH,26
2017-12-03,Esther Paslier,FR,0
2017-12-03,Petra Vlhova,SK,0
2017-12-03,Patrizia Dorsch,DE,0
2017-12-03,Laura Pirovano,IT,0
2017-12-03,Nina Ortlieb,AT,0
2017-12-03,Joana Haehlen,CH,15
2017-12-03,Patricia Mangan,US,0
2017-12-03,Priska Nufer,CH,12
2017-12-03,Johanna Schnarf,IT,40
2017-12-03,Anna Hofer,IT,0
2017-12-03,Nicole Delago,IT,9
2017-12-03,Stefanie Fleckenstein,CA,0
2017-12-03,Denise Feierabend,CH,0
2017-12-03,Nadine Fest,AT,0
2017-12-03,Alexandra Coletti,MC,0
2017-12-03,Ester Ledecka,CZ,0
2017-12-03,Michaela Wenig,DE,8
2017-12-03,Alice Mckennis,US,2
2017-12-03,Lara Gut,CH,80
2017-12-03,Tiffany Gauthier,FR,3
2017-12-03,Ricarda Haaser,AT,7
2017-12-03,Christina Ager,AT,4
2017-12-03,Valerie Grenier,CA,5
2017-12-03,Marusa Ferk,SK,2
2017-12-03,Edith Miklos,HU,0
2017-12-03,Nicole Schmidhofer,AT,60
2017-12-03,Meike Pfister,DE,0
2017-12-03,Laurenne Ross,US,0
2017-12-03,Ramona Siebenhofer,AT,11
2017-12-03,Tessa Worley,FR,50
2017-12-03,Stephanie Brunner,AT,0
2017-12-03,Wendy Holdener,CH,0
2017-12-03,Mikaela Shiffrin,US,45
2017-12-03,Rahel Kopp,CH,0
2017-12-03,Marta Bassino,IT,0
2017-12-03,Lindsey Vonn,US,0
2017-12-03,Roni Remme,CA,0
2017-12-03,Jennifer Piot,FR,10
2017-12-03,Anna Veith Fenninger,AT,0
2017-12-03,Federica Brignone,IT,0
2017-12-09,Nicole Schmidhofer,AT,80
2017-12-09,Jacqueline Wiles,US,0
2017-12-09,Alice Mckennis,US,2
2017-12-09,Laura Gauche,FR,18
2017-12-09,Christina Ager,AT,4
2017-12-09,Ricarda Haaser,AT,7
2017-12-09,Sofia Goggia,IT,29
2017-12-09,Elena Fanchini,IT,18
2017-12-09,Ramona Siebenhofer,AT,15
2017-12-09,Lindsey Vonn,US,7
2017-12-09,Mikaela Shiffrin,US,56
2017-12-09,Wendy Holdener,CH,12
2017-12-09,Denise Feierabend,CH,15
2017-12-09,Anna Hofer,IT,3
2017-12-09,Tamara Tippler,AT,34
2017-12-09,Cornelia Huetter,AT,48
2017-12-09,Tiffany Gauthier,FR,12
2017-12-09,Stephanie Brunner,AT,8
2017-12-09,Breezy Johnson,US,8
2017-12-09,Lara Gut,CH,80
2017-12-09,Verena Stuffer,IT,0
2017-12-09,Stefanie Fleckenstein,CA,0
2017-12-09,Klara Krizova,CZ,0
2017-12-09,Macarena Simari-Birkner,AR,0
2017-12-09,Nevena Ignjatovic,RS,0
2017-12-09,Corinne Suter,CH,55
2017-12-09,Nathalie Groebli,CH,0
2017-12-09,Katerina Paulathova,CZ,0
2017-12-09,Tessa Worley,FR,82
2017-12-09,Johanna Schnarf,IT,76
2017-12-09,Kajsa Vickhoff Lie,NO,0
2017-12-09,Viktoria Rebensburg,DE,60
2017-12-09,Anna Veith Fenninger,AT,45
2017-12-09,Federica Brignone,IT,50
2017-12-09,Tina Weirather,LI,160
2017-12-09,Michelle Gisin,CH,98
2017-12-09,Jennifer Piot,FR,24
2017-12-09,Romane Miradoli,FR,14
2017-12-09,Laurenne Ross,US,1
2017-12-09,Jasmine Flury,CH,136
2017-12-09,Cara Brown,GB,0
2017-12-09,Ana Bucik,SK,0
2017-12-09,Marta Bassino,IT,6
2017-12-09,Petra Vlhova,SK,0
2017-12-09,Esther Paslier,FR,0
2017-12-09,Marie Massios,FR,0
2017-12-09,Lisa Hoernblad,SE,0
2017-12-09,Noelle Barahona,CL,0
2017-12-09,Stephanie Venier,AT,46
2017-12-09,Julia Mancuso,US,0
2017-12-09,Ania Monica Cail,RO,0
2017-12-09,Rahel Kopp,CH,22
2017-12-09,Roni Remme,CA,0
2017-12-09,Meike Pfister,DE,0
2017-12-09,Jasmina Suter,CH,0
2017-12-09,Nina Ortlieb,AT,0
2017-12-09,Alexandra Coletti,MC,0
2017-12-09,Ragnhild Mowinckel,NO,42
2017-12-09,Carmina Pallas,AD,0
2017-12-09,Patrizia Dorsch,DE,0
2017-12-09,Laura Pirovano,IT,0
2017-12-09,Cande Moreno Becerra,AD,0
2017-12-09,Lin Ivarsson,SE,0
2017-12-16,Cande Moreno Becerra,AD,0
2017-12-16,Nina Ortlieb,AT,0
2017-12-16,Laura Pirovano,IT,0
2017-12-16,Patrizia Dorsch,DE,0
2017-12-16,Petra Vlhova,SK,0
2017-12-16,Esther Paslier,FR,0
2017-12-16,Ramona Siebenhofer,AT,17
2017-12-16,Laura Gauche,FR,23
2017-12-16,Cara Brown,GB,0
2017-12-16,Macarena Simari-Birkner,AR,0
2017-12-16,Nevena Ignjatovic,RS,0
2017-12-16,Nathalie Groebli,CH,0
2017-12-16,Carmina Pallas,AD,0
2017-12-16,Christine Scheyer,AT,6
2017-12-16,Stephanie Brunner,AT,12
2017-12-16,Tessa Worley,FR,86
2017-12-16,Jennifer Piot,FR,25
2017-12-16,Ricarda Haaser,AT,21
2017-12-16,Ana Bucik,SK,0
2017-12-16,Katerina Paulathova,CZ,0
2017-12-16,Sabrina Simader,KE,0
2017-12-16,Ania Monica Cail,RO,0
2017-12-16,Tina Weirather,LI,160
2017-12-16,Mikaela Shiffrin,US,56
2017-12-16,Cornelia Huetter,AT,48
2017-12-16,Michaela Wenig,DE,8
2017-12-16,Valerie Grenier,CA,5
2017-12-16,Christina Ager,AT,4
2017-12-16,Marusa Ferk,SK,2
2017-12-16,Jacqueline Wiles,US,0
2017-12-16,Greta Small,AU,0
2017-12-16,Kajsa Vickhoff Lie,NO,0
2017-12-16,Klara Krizova,CZ,0
2017-12-16,Lin Ivarsson,SE,0
2017-12-16,Alexandra Coletti,MC,0
2017-12-16,Ester Ledecka,CZ,0
2017-12-16,Roni Remme,CA,0
2017-12-16,Rahel Kopp,CH,22
2017-12-16,Wendy Holdener,CH,12
2017-12-16,Patricia Mangan,US,0
2017-12-16,Anne Sophie Barthet,FR,0
2017-12-16,Maren Skjoeld,NO,0
2017-12-16,Maryna Gasienica Daniel,PL,0
2017-12-16,Leona Popovic,HR,0
2017-12-16,Barbara Kantorova,SK,0
2017-12-16,Noelle Barahona,CL,0
2017-12-16,Stefanie Fleckenstein,CA,0
2017-12-16,Edith Miklos,HU,0
2017-12-16,Verena Stuffer,IT,0
2017-12-16,Sofia Goggia,IT,109
2017-12-16,Johanna Schnarf,IT,116
2017-12-16,Alice Mckennis,US,11
2017-12-16,Viktoria Rebensburg,DE,96
2017-12-16,Laurenne Ross,US,33
2017-12-16,Stephanie Venier,AT,57
2017-12-16,Lara Gut,CH,109
2017-12-16,Nadia Fanchini,IT,23
2017-12-16,Priska Nufer,CH,24
2017-12-16,Jasmine Flury,CH,149
2017-12-16,Federica Brignone,IT,65
2017-12-16,Romane Miradoli,FR,38
2017-12-16,Anna Veith Fenninger,AT,61
2017-12-16,Corinne Suter,CH,77
2017-12-16,Tamara Tippler,AT,52
2017-12-16,Michelle Gisin,CH,124
2017-12-16,Joana Haehlen,CH,60
2017-12-16,Anna Hofer,IT,13
2017-12-16,Tiffany Gauthier,FR,32
2017-12-16,Alice Merryweather,US,7
2017-12-16,Ragnhild Mowinckel,NO,102
2017-12-16,Lindsey Vonn,US,107
2017-12-16,Nicole Schmidhofer,AT,130
2017-12-17,Stephanie Brunner,AT,34
2017-12-17,Viktoria Rebensburg,DE,96
