date,name,ath_country,value
2006-11-11,Marlies Schild,AT,100
2006-11-11,Marion Rolland,FR,0
2006-11-11,Nike Bent,SE,0
2006-11-11,Wendy Siorpaes,IT,0
2006-11-11,Ella Alpiger,CH,0
2006-11-11,Dominique Gisin,CH,0
2006-11-11,Fabienne Suter,CH,0
2006-11-11,Silvia Berger,AT,0
2006-11-11,Camilla Borsotti,IT,0
2006-11-11,Shona Rubens,CA,0
2006-11-11,Tina Weirather,LI,0
2006-11-11,Johanna Schnarf,IT,0
2006-11-11,Anne Sophie Barthet,FR,0
2006-11-11,Simone Streng,AT,0
2006-11-11,Kaylin L Richardson,US,0
2006-11-11,Libby Ludlow,US,0
2006-11-11,Monika Bergmann,DE,40
2006-11-11,Alexandra Coletti,MC,0
2006-11-11,Katja Wirth,AT,0
2006-11-11,Martina Schild,CH,0
2006-11-11,Gina Stechert,DE,0
2006-11-11,Urska Rabic,SK,0
2006-11-11,Carolina Ruiz Castillo,ES,0
2006-11-11,Marie Marchand-Arvier,FR,0
2006-11-11,Lucia Mazzotti,IT,0
2006-11-11,Elena Fanchini,IT,0
2006-11-11,Emily Brydon,CA,0
2006-11-11,Karin Blaser,AT,0
2006-11-11,Lucia Recchia,IT,0
2006-11-11,Ana Kobal,SK,0
2006-11-11,Olivia Bertrand,FR,0
2006-11-11,Anne Marie Mueller,NO,0
2006-11-11,Line Viken,NO,0
2006-11-11,Aurelie Revillet,FR,0
2006-11-11,Lene Loeseth,NO,0
2006-11-11,Aline Bonjour,CH,0
2006-11-11,Viktoria Rebensburg,DE,0
2006-11-11,Megan McJames,US,0
2006-11-11,Carolin Fernsebner,DE,0
2006-11-11,Marusa Ferk,SK,0
2006-11-11,Anna Veith Fenninger,AT,0
2006-11-11,Daniela Ceccarelli,IT,0
2006-11-11,Eva-Maria Brem,AT,0
2006-11-11,Karen Putzer,IT,0
2006-11-11,Susanne Riesch,DE,45
2006-11-11,Emilie Desforges,CA,0
2006-11-11,Stefanie Moser,AT,0
2006-11-11,Tamara Wolf,CH,0
2006-11-11,Maria Holaus,AT,0
2006-11-11,Petra Robnik,SK,0
2006-11-11,Sandra Gini,CH,0
2006-11-11,Hilary Longhini,IT,0
2006-11-11,Jelena Lolovic,RS,0
2006-11-11,Kathrin Triendl,AT,0
2006-11-11,Nina Loeseth,NO,0
2006-11-11,Daniela Zeiser,AT,0
2006-11-11,Mateja Robnik,SK,0
2006-11-11,Clothilde Weyrich,FR,0
2006-11-11,Catherine Borghi,CH,0
2006-11-11,Nadia Styger,CH,0
2006-11-11,Katrin Wilhelm,AT,0
2006-11-11,Renate Goetschl,AT,0
2006-11-11,Aurelie Santon,FR,0
2006-11-11,Genevieve Simard,CA,0
2006-11-11,Ingrid Jacquemod,FR,0
2006-11-11,Ana Drev,SK,0
2006-11-11,Denise Karbon,IT,0
2006-11-11,Julia Mancuso,US,0
2006-11-11,Therese Borssen,SE,32
