date,name,ath_country,value
2013-11-30,Dominik Paris,IT,100
2013-11-30,Adam Zampa,SK,0
2013-11-30,Dustin Cook,CA,0
2013-11-30,Cristian Javier Simari Birkner,AR,0
2013-11-30,Johannes Kroell,AT,0
2013-11-30,Manuel Kramer,AT,0
2013-11-30,Christof Innerhofer,IT,18
2013-11-30,Klaus Brandner,DE,0
2013-11-30,Robbie Dixon,CA,0
2013-11-30,Yuri Danilochkin,BY,0
2013-11-30,Michal Klusak,PL,0
2013-11-30,Paolo Pangrazzi,IT,0
2013-11-30,Nicolas Raffort,FR,0
2013-11-30,Matthias Mayer,AT,20
2013-11-30,Bryce Bennett,US,0
2013-11-30,Martin Cater,SK,0
2013-11-30,Mauro Caviezel,CH,0
2013-11-30,Fabio Renz,DE,0
2013-11-30,Arnaud Alessandria,MC,0
2013-11-30,Luca De Aliprandini,IT,0
2013-11-30,Frederic Berthold,AT,0
2013-11-30,Endre Bjertness,NO,0
2013-11-30,Peter Fill,IT,22
2013-11-30,Thomas Mermillod,FR,0
2013-11-30,Bjoernar Neteland,NO,0
2013-11-30,Adrian Smiseth Sejersted,NO,0
2013-11-30,Tobias Stechert,DE,24
2013-11-30,Carlo Janka,CH,26
2013-11-30,Igor Zakurdaev,KZ,0
2013-11-30,Thomas Baldwin,GB,0
2013-11-30,Patrick Kueng,CH,16
2013-11-30,Kevin Esteve Rigail,AD,0
2013-11-30,Didier Defago,CH,8
2013-11-30,Travis Ganong,US,7
2013-11-30,Kjetil Jansrud,NO,10
2013-11-30,Hannes Reichelt,AT,6
2013-11-30,Steven Nyman,US,12
2013-11-30,Brice Roger,FR,12
2013-11-30,Erik Fisher,US,5
2013-11-30,Romed Baumann,AT,4
2013-11-30,Manuel Osborne-Paradis,CA,3
2013-11-30,Othmar Striedinger,AT,13
2013-11-30,Joachim Puchner,AT,2
2013-11-30,Beat Feuz,CH,1
2013-11-30,Alexandre Bouillot,FR,0
2013-11-30,Max Franz,AT,29
2013-11-30,David Poisson,FR,14
2013-11-30,Nick Daniels,US,0
2013-11-30,Valentin Giraud Moine,FR,0
2013-11-30,Siegmar Klotz,IT,0
2013-11-30,Nils Mani,CH,0
2013-11-30,Hans Olsson,SE,0
2013-11-30,Rok Perko,SK,0
2013-11-30,Bode Miller,US,15
2013-11-30,Andreas Strodl,DE,0
2013-11-30,Andrew Weibrecht,US,0
2013-11-30,Natko Zrncic-Dim,HR,0
2013-11-30,Vincent Kriechmayr,AT,0
2013-11-30,Ted Ligety,US,0
2013-11-30,Vitus Lueoend,CH,0
2013-11-30,Douglas Crawford,GB,0
2013-11-30,Erik Guay,CA,32
2013-11-30,Jan Hudec,CA,9
2013-11-30,Adrien Theaux,FR,60
2013-11-30,Georg Streitberger,AT,40
2013-11-30,Johan Clarey,FR,45
2013-11-30,Aksel-Lund Svindal,NO,50
2013-11-30,Klaus Kroell,AT,80
2013-11-30,Werner Heel,IT,36
2013-12-06,Klaus Kroell,AT,86
2013-12-06,Kjetil Jansrud,NO,32
2013-12-06,Thomas Mermillod,FR,0
2013-12-06,Bjoernar Neteland,NO,0
2013-12-06,Adrian Smiseth Sejersted,NO,0
2013-12-06,Beat Feuz,CH,41
2013-12-06,Aksel-Lund Svindal,NO,150
2013-12-06,Bode Miller,US,35
2013-12-06,Christof Innerhofer,IT,36
2013-12-06,Patrick Kueng,CH,61
2013-12-06,Carlo Janka,CH,34
2013-12-06,Martin Cater,SK,0
2013-12-06,Travis Ganong,US,23
2013-12-06,Manuel Osborne-Paradis,CA,53
2013-12-06,Steven Nyman,US,22
2013-12-06,Erik Guay,CA,47
2013-12-06,Peter Fill,IT,82
2013-12-06,Endre Bjertness,NO,0
2013-12-06,David Poisson,FR,28
