date,name,ath_country,value
1967-01-06,Georges Mauduit,FR,25
1967-01-06,Karl Schranz,AT,4
1967-01-06,Heini Messner,AT,3
1967-01-06,Edmund Bruggmann,CH,2
1967-01-06,Herbert Huber,AT,1
1967-01-06,Willi Favre,CH,0
1967-01-06,Werner Bleiner,AT,0
1967-01-06,Jakob Tischhauser,CH,0
1967-01-06,Guy Perillat,FR,6
1967-01-06,Jim Heuga,US,0
1967-01-06,Dumeng Giovanoli,CH,0
1967-01-06,Scott Henderson,CA,0
1967-01-06,Bob Swan,CA,0
1967-01-06,Rudi Sailer,AT,0
1967-01-06,Rod Hebron,CA,0
1967-01-06,Gerhard Nenning,AT,0
1967-01-06,Rick Chaffee,US,0
1967-01-06,Bruno Piazzalunga,IT,0
1967-01-06,Roger Rossat-Mignod,FR,8
1967-01-06,Ivo Mahlknecht,IT,0
1967-01-06,Jean Claude Killy,FR,15
1967-01-06,Leo Lacroix,FR,20
1967-01-06,Stefan Kaelin,CH,11
1967-01-09,Herbert Huber,AT,1
1967-01-09,Georges Mauduit,FR,40
1967-01-09,Bruno Piazzalunga,IT,1
1967-01-09,Jean Claude Killy,FR,40
1967-01-09,Stefan Kaelin,CH,11
1967-01-09,Roger Rossat-Mignod,FR,8
1967-01-09,Karl Schranz,AT,4
1967-01-09,Jim Heuga,US,2
1967-01-09,Edmund Bruggmann,CH,2
1967-01-09,Dumeng Giovanoli,CH,0
1967-01-09,Guy Perillat,FR,9
1967-01-09,Scott Henderson,CA,0
1967-01-09,Bob Swan,CA,0
1967-01-09,Werner Bleiner,AT,8
1967-01-09,Jakob Tischhauser,CH,8
1967-01-09,Ivo Mahlknecht,IT,0
1967-01-09,Rick Chaffee,US,0
1967-01-09,Gerhard Nenning,AT,0
1967-01-09,Willi Favre,CH,20
1967-01-09,Leo Lacroix,FR,31
1967-01-09,Heini Messner,AT,7
1967-01-09,Rudi Sailer,AT,0
1967-01-09,Rod Hebron,CA,0
1967-03-11,Jakob Tischhauser,CH,8
1967-03-11,Stefan Kaelin,CH,11
1967-03-11,Roger Rossat-Mignod,FR,8
1967-03-11,Jean Claude Killy,FR,65
1967-03-11,Jim Heuga,US,2
1967-03-11,Bruno Piazzalunga,IT,1
1967-03-11,Guy Perillat,FR,9
1967-03-11,Rudi Sailer,AT,0
1967-03-11,Leo Lacroix,FR,31
1967-03-11,Dumeng Giovanoli,CH,15
1967-03-11,Rod Hebron,CA,0
1967-03-11,Scott Henderson,CA,8
1967-03-11,Heini Messner,AT,18
1967-03-11,Karl Schranz,AT,10
1967-03-11,Werner Bleiner,AT,12
1967-03-11,Ivo Mahlknecht,IT,3
1967-03-11,Georges Mauduit,FR,60
1967-03-11,Herbert Huber,AT,3
1967-03-11,Willi Favre,CH,20
1967-03-11,Gerhard Nenning,AT,0
1967-03-11,Bob Swan,CA,1
1967-03-11,Edmund Bruggmann,CH,2
1967-03-11,Rick Chaffee,US,0
1967-03-19,Roger Rossat-Mignod,FR,8
1967-03-19,Rick Chaffee,US,0
1967-03-19,Gerhard Nenning,AT,0
1967-03-19,Ivo Mahlknecht,IT,3
1967-03-19,Dumeng Giovanoli,CH,15
1967-03-19,Georges Mauduit,FR,60
1967-03-19,Bruno Piazzalunga,IT,1
1967-03-19,Jakob Tischhauser,CH,8
1967-03-19,Stefan Kaelin,CH,11
1967-03-19,Willi Favre,CH,20
1967-03-19,Herbert Huber,AT,3
1967-03-19,Edmund Bruggmann,CH,2
1967-03-19,Werner Bleiner,AT,12
1967-03-19,Karl Schranz,AT,21
1967-03-19,Jean Claude Killy,FR,90
1967-03-19,Scott Henderson,CA,14
1967-03-19,Rudi Sailer,AT,4
1967-03-19,Bob Swan,CA,4
1967-03-19,Heini Messner,AT,33
1967-03-19,Guy Perillat,FR,10
1967-03-19,Rod Hebron,CA,2
1967-03-19,Jim Heuga,US,22
1967-03-19,Leo Lacroix,FR,39
1967-03-24,Bruno Piazzalunga,IT,1
1967-03-24,Willi Favre,CH,20
1967-03-24,Leo Lacroix,FR,39
1967-03-24,Edmund Bruggmann,CH,2
1967-03-24,Karl Schranz,AT,21
1967-03-24,Roger Rossat-Mignod,FR,8
1967-03-24,Ivo Mahlknecht,IT,3
1967-03-24,Stefan Kaelin,CH,11
1967-03-24,Bob Swan,CA,4
1967-03-24,Jakob Tischhauser,CH,8
1967-03-24,Heini Messner,AT,39
1967-03-24,Dumeng Giovanoli,CH,23
1967-03-24,Herbert Huber,AT,14
1967-03-24,Guy Perillat,FR,14
1967-03-24,Gerhard Nenning,AT,3
1967-03-24,Werner Bleiner,AT,27
1967-03-24,Scott Henderson,CA,16
1967-03-24,Rick Chaffee,US,1
1967-03-24,Jim Heuga,US,42
1967-03-24,Rudi Sailer,AT,4
1967-03-24,Jean Claude Killy,FR,115
1967-03-24,Georges Mauduit,FR,60
1967-03-24,Rod Hebron,CA,2
