date,name,ath_country,value,specialty
1971-12-09,Erik Haaker,NO,25,Giant Slalom
1971-12-09,Adolf Roesti,CH,0,Giant Slalom
1971-12-09,Roland Thoeni,IT,0,Slalom
1971-12-09,Josef Loidl,AT,0,Downhill
1971-12-09,David Zwilling,AT,0,Giant Slalom
1971-12-09,Gustav Thoeni,IT,0,Giant Slalom
1971-12-09,Giuliano Besson,IT,0,Downhill
1971-12-09,Andrej Bachleda,PL,11,Slalom
1971-12-09,Christian Neureuther,DE,3,Slalom
1971-12-09,Edmund Bruggmann,CH,0,Giant Slalom
1971-12-09,Walter Tresch,CH,8,Giant Slalom
1971-12-09,Jean Noel Augert,FR,20,Slalom
1971-12-09,Reinhard Tritscher,AT,0,Giant Slalom
1971-12-09,Henri Duvillard,FR,15,Slalom
1971-12-09,Herbert Plank,IT,0,Giant Slalom
1971-12-09,Helmuth Schmalzl,IT,0,Giant Slalom
1971-12-09,Alfred Hagn,DE,0,Giant Slalom
1971-12-09,Josef Heckelmiller,DE,0,Giant Slalom
1971-12-09,Werner Mattle,CH,0,Giant Slalom
1971-12-09,Werner Bleiner,AT,6,Giant Slalom
1971-12-09,Bernard Russi,CH,4,Downhill
1971-12-09,Hansi Hinterseer,AT,0,Giant Slalom
1971-12-09,Roger Rossat-Mignod,FR,1,Giant Slalom
1971-12-09,Engelhard Pargaetzi,CH,0,Giant Slalom
1971-12-09,Alain Penz,FR,3,Slalom
1971-12-09,Eberhard Schmalzl,IT,0,Slalom
1971-12-09,Hans Zingre,CH,0,Giant Slalom
1971-12-09,Eric Poulsen,US,0,Downhill
1972-01-10,Bernard Russi,CH,4,Downhill
1972-01-10,Henri Duvillard,FR,15,Slalom
1972-01-10,Herbert Plank,IT,0,Giant Slalom
1972-01-10,Josef Heckelmiller,DE,0,Giant Slalom
1972-01-10,Reinhard Tritscher,AT,0,Giant Slalom
1972-01-10,Walter Tresch,CH,23,Giant Slalom
1972-01-10,Hansi Hinterseer,AT,0,Giant Slalom
1972-01-10,Helmuth Schmalzl,IT,0,Giant Slalom
1972-01-10,Werner Bleiner,AT,6,Giant Slalom
1972-01-10,Eberhard Schmalzl,IT,1,Slalom
1972-01-10,Alain Penz,FR,3,Slalom
1972-01-10,Josef Loidl,AT,0,Downhill
1972-01-10,David Zwilling,AT,4,Giant Slalom
1972-01-10,Engelhard Pargaetzi,CH,0,Giant Slalom
1972-01-10,Andrej Bachleda,PL,19,Slalom
1972-01-10,Alfred Hagn,DE,11,Giant Slalom
1972-01-10,Eric Poulsen,US,6,Downhill
1972-01-10,Roland Thoeni,IT,0,Slalom
1972-01-10,Christian Neureuther,DE,3,Slalom
1972-01-10,Hans Zingre,CH,0,Giant Slalom
1972-01-10,Giuliano Besson,IT,0,Downhill
1972-01-10,Gustav Thoeni,IT,20,Giant Slalom
1972-01-10,Jean Noel Augert,FR,24,Slalom
1972-01-10,Roger Rossat-Mignod,FR,26,Giant Slalom
1972-01-10,Erik Haaker,NO,25,Giant Slalom
1972-01-10,Edmund Bruggmann,CH,2,Giant Slalom
1972-01-10,Adolf Roesti,CH,0,Giant Slalom
1972-01-10,Werner Mattle,CH,0,Giant Slalom
1972-01-24,Andrej Bachleda,PL,21,Slalom
1972-01-24,Walter Tresch,CH,23,Giant Slalom
1972-01-24,Helmuth Schmalzl,IT,0,Giant Slalom
1972-01-24,Eberhard Schmalzl,IT,1,Slalom
1972-01-24,Werner Mattle,CH,25,Giant Slalom
1972-01-24,Giuliano Besson,IT,0,Downhill
1972-01-24,David Zwilling,AT,4,Giant Slalom
1972-01-24,Engelhard Pargaetzi,CH,4,Giant Slalom
1972-01-24,Alfred Hagn,DE,22,Giant Slalom
1972-01-24,Roland Thoeni,IT,0,Slalom
1972-01-24,Werner Bleiner,AT,6,Giant Slalom
1972-01-24,Hans Zingre,CH,0,Giant Slalom
1972-01-24,Alain Penz,FR,3,Slalom
1972-01-24,Roger Rossat-Mignod,FR,32,Giant Slalom
1972-01-24,Gustav Thoeni,IT,35,Giant Slalom
1972-01-24,Josef Loidl,AT,3,Downhill
1972-01-24,Edmund Bruggmann,CH,13,Giant Slalom
1972-01-24,Christian Neureuther,DE,3,Slalom
1972-01-24,Herbert Plank,IT,1,Giant Slalom
1972-01-24,Erik Haaker,NO,25,Giant Slalom
1972-01-24,Jean Noel Augert,FR,24,Slalom
1972-01-24,Reinhard Tritscher,AT,0,Giant Slalom
1972-01-24,Adolf Roesti,CH,20,Giant Slalom
1972-01-24,Bernard Russi,CH,4,Downhill
1972-01-24,Josef Heckelmiller,DE,0,Giant Slalom
1972-01-24,Hansi Hinterseer,AT,0,Giant Slalom
1972-01-24,Eric Poulsen,US,6,Downhill
1972-01-24,Henri Duvillard,FR,15,Slalom
1972-02-18,Werner Mattle,CH,25,Giant Slalom
1972-02-18,Erik Haaker,NO,50,Giant Slalom
1972-02-18,Alfred Hagn,DE,22,Giant Slalom
1972-02-18,Alain Penz,FR,6,Slalom
1972-02-18,Engelhard Pargaetzi,CH,4,Giant Slalom
1972-02-18,Eberhard Schmalzl,IT,12,Slalom
1972-02-18,Roger Rossat-Mignod,FR,40,Giant Slalom
1972-02-18,Andrej Bachleda,PL,21,Slalom
1972-02-18,Josef Heckelmiller,DE,20,Giant Slalom
1972-02-18,Josef Loidl,AT,7,Downhill
1972-02-18,Adolf Roesti,CH,22,Giant Slalom
1972-02-18,Roland Thoeni,IT,0,Slalom
1972-02-18,Herbert Plank,IT,1,Giant Slalom
1972-02-18,Edmund Bruggmann,CH,19,Giant Slalom
1972-02-18,Hans Zingre,CH,0,Giant Slalom
1972-02-18,Bernard Russi,CH,4,Downhill
1972-02-18,Reinhard Tritscher,AT,0,Giant Slalom
1972-02-18,Hansi Hinterseer,AT,0,Giant Slalom
1972-02-18,Christian Neureuther,DE,4,Slalom
1972-02-18,Werner Bleiner,AT,6,Giant Slalom
1972-02-18,Jean Noel Augert,FR,24,Slalom
1972-02-18,David Zwilling,AT,4,Giant Slalom
1972-02-18,Eric Poulsen,US,6,Downhill
1972-02-18,Walter Tresch,CH,23,Giant Slalom
1972-02-18,Giuliano Besson,IT,0,Downhill
1972-02-18,Henri Duvillard,FR,15,Slalom
1972-02-18,Gustav Thoeni,IT,35,Giant Slalom
1972-02-18,Helmuth Schmalzl,IT,15,Giant Slalom
1972-03-02,Hans Zingre,CH,0,Giant Slalom
1972-03-02,Eric Poulsen,US,6,Downhill
1972-03-02,Werner Bleiner,AT,6,Giant Slalom
1972-03-02,Erik Haaker,NO,50,Giant Slalom
1972-03-02,Alain Penz,FR,10,Slalom
1972-03-02,Bernard Russi,CH,4,Downhill
1972-03-02,Roland Thoeni,IT,0,Slalom
1972-03-02,Eberhard Schmalzl,IT,13,Slalom
1972-03-02,Josef Heckelmiller,DE,28,Giant Slalom
1972-03-02,Adolf Roesti,CH,28,Giant Slalom
