date,name,ath_country,value
1968-01-14,Dumeng Giovanoli,CH,25
1968-01-14,Edmund Bruggmann,CH,0
1968-01-14,Vladimir Spider Sabich,US,3
1968-01-14,Alain Penz,FR,2
1968-01-14,Bill Kidd,US,1
1968-01-14,Scott Henderson,CA,0
1968-01-14,Reinhard Tritscher,AT,0
1968-01-14,Guy Perillat,FR,0
1968-01-14,Jean Claude Killy,FR,0
1968-01-14,Karl Schranz,AT,0
1968-01-14,Jean Pierre Augert,FR,0
1968-01-14,Rick Chaffee,US,0
1968-01-14,Carlo Senoner,IT,0
1968-01-14,Otto Tschudi,NO,0
1968-01-14,Andrej Bachleda,PL,0
1968-01-14,Jim Heuga,US,0
1968-01-14,Patrick Russel,FR,0
1968-01-14,Rune Lindstroem,SE,0
1968-01-14,Peter Duncan,CA,0
1968-01-14,Dennis McCoy,US,0
1968-01-14,E. Wurner,AT,0
1968-01-14,Bostjan Jakopic,SK,0
1968-01-14,R. Schaller,AT,0
1968-01-14,Hans Hinterholzer,AT,0
1968-01-14,Herbert Huber,AT,4
1968-01-14,Peter Lakota,SK,0
1968-01-14,Norbert Wendner,AT,0
1968-01-14,Franz Digruber,AT,0
1968-01-14,Jon Terje Overland,NO,0
1968-01-14,Werner Bleiner,AT,0
1968-01-14,Georges Mauduit,FR,0
1968-01-14,Stefan Kaelin,CH,0
1968-01-14,Stefan Sodat,AT,0
1968-01-14,Heini Messner,AT,6
1968-01-14,Bob Swan,CA,0
1968-01-14,HÅkon Mjoen,NO,20
1968-01-14,Alfred Matt,AT,15
1968-01-14,Gerhard Nenning,AT,11
1968-01-14,Peter Frei,CH,8
1968-01-21,Alain Penz,FR,2
1968-01-21,Georges Mauduit,FR,0
1968-01-21,Stefan Kaelin,CH,0
1968-01-21,Rune Lindstroem,SE,0
1968-01-21,Carlo Senoner,IT,2
1968-01-21,Patrick Russel,FR,0
1968-01-21,Jim Heuga,US,0
1968-01-21,Andrej Bachleda,PL,0
1968-01-21,Bill Kidd,US,1
1968-01-21,Otto Tschudi,NO,1
1968-01-21,Werner Bleiner,AT,0
1968-01-21,Heini Messner,AT,6
1968-01-21,Peter Frei,CH,8
1968-01-21,Gerhard Nenning,AT,11
1968-01-21,Herbert Huber,AT,15
1968-01-21,Jean Claude Killy,FR,15
1968-01-21,Alfred Matt,AT,35
1968-01-21,Dumeng Giovanoli,CH,50
1968-01-21,Vladimir Spider Sabich,US,3
1968-01-21,Jon Terje Overland,NO,0
1968-01-21,Hans Hinterholzer,AT,0
1968-01-21,Rick Chaffee,US,3
1968-01-21,Karl Schranz,AT,8
