date,name,ath_country,value,specialty
1995-11-19,Michael Tritscher,AT,100,Slalom
1995-11-19,Leo Puentener,CH,0,Slalom
1995-11-19,Ole Kristian Furuseth,NO,0,Slalom
1995-11-19,Siegfried Voglreiter,AT,36,Slalom
1995-11-19,Christian Mayer,AT,0,Slalom
1995-11-19,Mika Marila,FI,0,Slalom
1995-11-19,Guenther Mader,AT,0,Downhill
1995-11-19,Max Ancenay,FR,0,Slalom
1995-11-19,Mario Reiter,AT,0,Slalom
1995-11-19,Didier Plaschy,CH,0,Slalom
1995-11-19,Michael von Gruenigen,CH,0,Giant Slalom
1995-11-19,Andrea Zinsli,CH,26,Slalom
1995-11-19,Gaku Hirasawa,JP,0,Slalom
1995-11-19,Kiminobu Kimura,JP,0,Slalom
1995-11-19,Alois Vogl,DE,0,Giant Slalom
1995-11-19,Tom Stiansen,NO,0,Giant Slalom
1995-11-19,Sergio Bergamelli,IT,11,Slalom
1995-11-19,Stanley Hayer,CA,0,Slalom
1995-11-19,Marc Girardelli,LU,0,Slalom
1995-11-19,Manfred Kleinlercher,AT,0,Slalom
1995-11-19,Fabio De Crignis,IT,22,Slalom
1995-11-19,Martin Hansson,SE,0,Slalom
1995-11-19,Matteo Belfrond,IT,0,Giant Slalom
1995-11-19,Thomas Stangassinger,AT,0,Slalom
1995-11-19,Kjetil Andre Aamodt,NO,50,Super G
1995-11-19,Gianluca Grigoletto,IT,0,Slalom
1995-11-19,Lasse Kjus,NO,45,Giant Slalom
1995-11-19,Bruno Kernen,CH,0,Downhill
1995-11-19,Rene Mlekuz,SK,0,Slalom
1995-11-19,Pierre Violon,FR,9,Slalom
1995-11-19,Mitja Kunc,SK,24,Giant Slalom
1995-11-19,Jure Kosir,SK,40,Slalom
1995-11-19,Jesper Brugge,SE,0,Slalom
1995-11-19,Fabrizio Tescari,IT,0,Slalom
1995-11-19,Finn Chr. Jagge,NO,32,Slalom
1995-11-19,Yves Dimier,FR,0,Slalom
1995-11-19,Sebastien Amiez,FR,80,Slalom
