date,name,ath_country,value,specialty
1988-11-27,Pirmin Zurbriggen,CH,25,Downhill
1988-11-27,Marco Tonazzi,IT,0,Slalom
1988-11-27,Giorgio Piantanida,IT,0,Downhill
1988-11-27,Berni Huber,DE,0,Combined
1988-11-27,Gerhard Pfaffenbichler,AT,0,Downhill
1988-11-27,Peter Roth,DE,0,Slalom
1988-11-27,Peter Wirnsberger,AT,0,Downhill
1988-11-27,Franck Woerndl,DE,0,Slalom
1988-11-27,Philip Schuler,CH,0,Downhill
1988-11-27,Leonhard Stock,AT,15,Downhill
1988-11-27,Robert Erlacher,IT,0,Giant Slalom
1988-11-27,Markus Wasmeier,DE,11,Downhill
1988-11-27,Felix McGrath,US,0,Slalom
1988-11-27,Brian Stemmle,CA,0,Downhill
1988-11-27,Denis Rey,FR,0,Combined
1988-11-27,Giglio Tomasi,IT,0,Giant Slalom
1988-11-27,Saso Robic,SK,0,Giant Slalom
1988-11-27,Tiger Shaw,US,0,Slalom
1988-11-27,Armin Bittner,DE,0,Slalom
1988-11-27,Patrick Ortlieb,AT,0,Downhill
1988-11-27,Hans Enn,AT,6,Super G
1988-11-27,Tetsuya Okabe,JP,0,Slalom
1988-11-27,Richard Kroell,AT,0,Giant Slalom
1988-11-27,Erwin Resch,AT,0,Downhill
1988-11-27,Hans Pieren,CH,0,Giant Slalom
1988-11-27,Helmut Hoeflehner,AT,8,Downhill
1988-11-27,Hubert Strolz,AT,10,Giant Slalom
1988-11-27,Joel Gaspoz,CH,0,Giant Slalom
1988-11-27,Urs Kaelin,CH,0,Giant Slalom
1988-11-27,Attilio Barcella,IT,0,Giant Slalom
1988-11-27,Paul Accola,CH,0,Combined
1988-11-27,Niklas Henning,SE,0,Giant Slalom
1988-11-27,Heinz Holzer,IT,0,Super G
1988-11-27,Michael Mair,IT,0,Downhill
1988-11-27,Alberto Tomba,IT,12,Slalom
1988-11-27,Kyle Wieche,US,0,Giant Slalom
1988-11-27,Peter Runggaldier,IT,0,Super G
1988-11-27,Konrad Walk,AT,0,Giant Slalom
1988-11-27,Herbert Renoth,DE,4,Super G
1988-11-27,Didier Bouvet,FR,0,Slalom
1988-11-27,Hans-Joerg Tauscher,DE,0,Downhill
1988-11-27,Martin Hangl,CH,3,Super G
1988-11-27,Patrick Staub,CH,0,Slalom
1988-11-27,Felix Belczyk,CA,0,Downhill
1988-11-27,Ole Kristian Furuseth,NO,0,Slalom
1988-11-27,Karl Alpiger,CH,0,Downhill
1988-11-27,Yves Tavernier,FR,0,Giant Slalom
1988-11-27,Thomas Stangassinger,AT,0,Slalom
1988-11-27,Josef Polig,IT,2,Combined
1988-11-27,Willibald Zechner,AT,0,Combined
1988-11-27,Robert Zan,SK,0,Giant Slalom
1988-11-27,Bernard Fahner,CH,0,Downhill
1988-11-27,Rob Boyd,CA,0,Downhill
1988-11-27,Richard Pramotton,IT,0,Slalom
1988-11-27,Guenther Mader,AT,5,Super G
1988-11-27,Peter Eigler,DE,0,Super G
1988-11-27,Lars Boerje Eriksson,SE,0,Super G
1988-11-27,Jean Luc Cretier,FR,0,Combined
1988-11-27,Jan Einar Thorsen,NO,0,Downhill
1988-11-27,Ingemar Stenmark,SE,0,Giant Slalom
1988-11-27,Lars Goeran Halvarsson,SE,0,Slalom
1988-11-27,Bernhard Gstrein,AT,0,Slalom
1988-11-27,Peter Jurko,SK,0,Slalom
1988-11-27,Carlo Gerosa,IT,0,Slalom
1988-11-27,Fredrik Nyberg,SE,0,Combined
1988-11-27,Armin Assinger,AT,0,Downhill
1988-11-27,Luc Alphand,FR,9,Super G
1988-11-27,Hubertus von Hohenlohe,MX,0,Combined
1988-11-27,Roberto Grigis,IT,0,Slalom
1988-11-27,Michael Eder,DE,1,Super G
1988-11-27,Marian Bires,SK,0,Combined
1988-11-27,Rudolph Nierlich,AT,0,Giant Slalom
1988-11-27,Gustav Oehrli,CH,0,Combined
1988-11-27,Jonas Nilsson,SE,0,Slalom
1988-11-27,Jeff Olson,US,0,Combined
1988-11-27,Paul Frommelt,LI,0,Slalom
1988-11-27,Robbie Bosinger,CA,0,Downhill
1988-11-27,Klaus Gattermann,DE,0,Downhill
1988-11-27,Christian Gaidet,FR,0,Giant Slalom
1988-11-27,Frank Piccard,FR,20,Super G
1988-11-27,Daniel Mahrer,CH,0,Downhill
1988-11-27,Mathias Berthold,AT,0,Slalom
1988-11-27,Florian Beck,DE,0,Slalom
1988-11-27,Robert Ormsby,US,0,Slalom
1988-11-27,Hannes Zehentner,DE,0,Downhill
1988-11-27,Didier Schmidt,FR,0,Slalom
1988-11-27,Oswald Toetsch,IT,0,Slalom
1988-11-27,Michael Tritscher,AT,0,Slalom
1988-11-27,Peter Wirnsberger Ii,AT,0,Combined
1988-11-27,William Besse,CH,0,Downhill
1988-11-27,Rok Petrovic,SK,0,Giant Slalom
1988-11-27,John Piccard,FR,0,Slalom
1988-11-27,Peter Duerr,DE,0,Downhill
1988-11-27,Johan Wallner,SE,0,Giant Slalom
1988-11-27,Danilo Sbardellotto,IT,0,Downhill
1988-11-27,Peter Mueller,CH,0,Downhill
1988-11-27,Ivano Camozzi,IT,0,Giant Slalom
1988-11-27,Atle Skaardal,NO,0,Downhill
1988-11-27,Helmut Mayer,AT,0,Giant Slalom
1988-11-27,Grega Benedik,SK,0,Slalom
1988-11-27,Tomaz Cizman,SK,0,Giant Slalom
1988-11-27,Roman Rupp,AT,0,Downhill
1988-11-27,Franz Heinzer,CH,0,Downhill
1988-11-27,Stefan Pistor,DE,0,Slalom
1988-11-27,Stefan Krauss,DE,0,Downhill
1988-11-27,Marc Girardelli,LU,7,Downhill
1988-11-27,Graham Bell,GB,0,Downhill
1988-11-29,Peter Jurko,SK,0,Slalom
1988-11-29,Hannes Zehentner,DE,0,Downhill
1988-11-29,Franck Woerndl,DE,0,Slalom
1988-11-29,Atle Skaardal,NO,0,Downhill
1988-11-29,Bernhard Gstrein,AT,0,Slalom
1988-11-29,Helmut Mayer,AT,12,Giant Slalom
1988-11-29,Didier Schmidt,FR,0,Slalom
1988-11-29,Peter Wirnsberger,AT,0,Downhill
1988-11-29,Lars Goeran Halvarsson,SE,0,Slalom
1988-11-29,Gerhard Pfaffenbichler,AT,0,Downhill
1988-11-29,Carlo Gerosa,IT,0,Slalom
1988-11-29,Peter Roth,DE,0,Slalom
1988-11-29,Berni Huber,DE,0,Combined
1988-11-29,Felix Belczyk,CA,0,Downhill
1988-11-29,John Piccard,FR,0,Slalom
1988-11-29,Roberto Grigis,IT,0,Slalom
1988-11-29,Armin Bittner,DE,0,Slalom
1988-11-29,Stefan Pistor,DE,0,Slalom
1988-11-29,Marco Tonazzi,IT,2,Slalom
1988-11-29,Ole Kristian Furuseth,NO,0,Slalom
1988-11-29,Giorgio Piantanida,IT,0,Downhill
1988-11-29,Marc Girardelli,LU,10,Downhill
1988-11-29,Mathias Berthold,AT,0,Slalom
1988-11-29,Martin Hangl,CH,3,Super G
1988-11-29,Robert Erlacher,IT,0,Giant Slalom
1988-11-29,Roman Rupp,AT,0,Downhill
1988-11-29,Hubertus von Hohenlohe,MX,0,Combined
1988-11-29,Rudolph Nierlich,AT,20,Giant Slalom
1988-11-29,Tomaz Cizman,SK,10,Giant Slalom
1988-11-29,Luc Alphand,FR,9,Super G
1988-11-29,Marian Bires,SK,0,Combined
1988-11-29,Armin Assinger,AT,0,Downhill
1988-11-29,Fredrik Nyberg,SE,0,Combined
1988-11-29,Jonas Nilsson,SE,0,Slalom
1988-11-29,Florian Beck,DE,0,Slalom
1988-11-29,Patrick Staub,CH,0,Slalom
1988-11-29,Ivano Camozzi,IT,0,Giant Slalom
1988-11-29,Peter Duerr,DE,0,Downhill
1988-11-29,Hans-Joerg Tauscher,DE,0,Downhill
1988-11-29,Markus Wasmeier,DE,12,Downhill
1988-11-29,Jeff Olson,US,0,Combined
1988-11-29,Paul Frommelt,LI,0,Slalom
1988-11-29,Robbie Bosinger,CA,0,Downhill
1988-11-29,Saso Robic,SK,0,Giant Slalom
1988-11-29,Tiger Shaw,US,0,Slalom
1988-11-29,Klaus Gattermann,DE,0,Downhill
1988-11-29,Brian Stemmle,CA,0,Downhill
1988-11-29,Giglio Tomasi,IT,7,Giant Slalom
1988-11-29,Frank Piccard,FR,20,Super G
1988-11-29,Denis Rey,FR,0,Combined
1988-11-29,Oswald Toetsch,IT,0,Slalom
1988-11-29,Christian Gaidet,FR,0,Giant Slalom
1988-11-29,Daniel Mahrer,CH,0,Downhill
1988-11-29,Stefan Krauss,DE,0,Downhill
1988-11-29,Leonhard Stock,AT,15,Downhill
1988-11-29,Patrick Ortlieb,AT,0,Downhill
1988-11-29,Felix McGrath,US,0,Slalom
1988-11-29,Michael Eder,DE,1,Super G
1988-11-29,Richard Pramotton,IT,0,Slalom
1988-11-29,Kyle Wieche,US,0,Giant Slalom
1988-11-29,Helmut Hoeflehner,AT,8,Downhill
1988-11-29,Michael Mair,IT,0,Downhill
1988-11-29,Danilo Sbardellotto,IT,0,Downhill
1988-11-29,Bernard Fahner,CH,0,Downhill
1988-11-29,Gustav Oehrli,CH,0,Combined
1988-11-29,Niklas Henning,SE,0,Giant Slalom
1988-11-29,Jean Luc Cretier,FR,0,Combined
1988-11-29,Hans Pieren,CH,0,Giant Slalom
1988-11-29,Heinz Holzer,IT,0,Super G
1988-11-29,Robert Zan,SK,0,Giant Slalom
1988-11-29,Rob Boyd,CA,0,Downhill
1988-11-29,Michael Tritscher,AT,0,Slalom
1988-11-29,Paul Accola,CH,0,Combined
1988-11-29,Guenther Mader,AT,9,Super G
1988-11-29,Attilio Barcella,IT,11,Giant Slalom
1988-11-29,Urs Kaelin,CH,0,Giant Slalom
1988-11-29,Hubert Strolz,AT,18,Giant Slalom
1988-11-29,Graham Bell,GB,0,Downhill
1988-11-29,Lars Boerje Eriksson,SE,0,Super G
1988-11-29,Peter Eigler,DE,0,Super G
1988-11-29,Peter Mueller,CH,0,Downhill
1988-11-29,Hans Enn,AT,21,Super G
1988-11-29,Rok Petrovic,SK,5,Giant Slalom
1988-11-29,Franz Heinzer,CH,0,Downhill
1988-11-29,Jan Einar Thorsen,NO,0,Downhill
1988-11-29,Erwin Resch,AT,0,Downhill
1988-11-29,Karl Alpiger,CH,0,Downhill
1988-11-29,Grega Benedik,SK,0,Slalom
1988-11-29,Didier Bouvet,FR,0,Slalom
1988-11-29,Robert Ormsby,US,0,Slalom
1988-11-29,Philip Schuler,CH,0,Downhill
1988-11-29,William Besse,CH,0,Downhill
1988-11-29,Tetsuya Okabe,JP,0,Slalom
1988-11-29,Yves Tavernier,FR,6,Giant Slalom
1988-11-29,Herbert Renoth,DE,4,Super G
1988-11-29,Peter Runggaldier,IT,0,Super G
1988-11-29,Johan Wallner,SE,0,Giant Slalom
1988-11-29,Josef Polig,IT,2,Combined
1988-11-29,Thomas Stangassinger,AT,0,Slalom
1988-11-29,Peter Wirnsberger Ii,AT,0,Combined
1988-11-29,Richard Kroell,AT,0,Giant Slalom
1988-11-29,Alberto Tomba,IT,12,Slalom
1988-11-29,Konrad Walk,AT,0,Giant Slalom
1988-11-29,Pirmin Zurbriggen,CH,50,Downhill
1988-11-29,Joel Gaspoz,CH,0,Giant Slalom
1988-11-29,Willibald Zechner,AT,0,Combined
1988-11-29,Ingemar Stenmark,SE,9,Giant Slalom
1988-12-06,Michael Eder,DE,1,Super G
1988-12-06,Marian Bires,SK,0,Combined
1988-12-06,Jonas Nilsson,SE,20,Slalom
