date,name,ath_country,value
2003-10-26,Bode Miller,US,100
2003-10-26,Jean Philippe Roy,CA,0
2003-10-26,Alexander Ploner,IT,0
2003-10-26,Claude Cretier,FR,0
2003-10-26,Werner Franz,AT,0
2003-10-26,Kenneth Sivertsen,NO,0
2003-10-26,Ole Magnus Kulbeck,NO,0
2003-10-26,Pierre Emmanuel Dalcin,FR,0
2003-10-26,Jouni Kaitala,FI,0
2003-10-26,Hannes Paul Schmid,IT,0
2003-10-26,Martin Marinac,AT,0
2003-10-26,Drago Grubelnik,SK,0
2003-10-26,Alois Vogl,DE,0
2003-10-26,Alan Perathoner,IT,0
2003-10-26,Markus Larsson,SE,0
2003-10-26,Alain Baxter,GB,0
2003-10-26,Mitja Valencic,SK,0
2003-10-26,Felix Neureuther,DE,0
2003-10-26,Konrad Hari,CH,0
2003-10-26,AJ Bear,AU,0
2003-10-26,Jakub Fiala,US,0
2003-10-26,Kurt Sulzenbacher,IT,0
2003-10-26,Bryon Friedman,US,0
2003-10-26,Roland Fischnaller,IT,0
2003-10-26,Kjetil Jansrud,NO,0
2003-10-26,Peter Rzehak,AT,0
2003-10-26,Andreas Schifferer,AT,29
2003-10-26,Alessandro Fattori,IT,0
2003-10-26,Stefan Stankalla,DE,0
2003-10-26,Scott Macartney,US,0
2003-10-26,Davide Simoncelli,IT,0
2003-10-26,Manfred Moelgg,IT,0
2003-10-26,Andrej Jerman,SK,0
2003-10-26,Edoardo Zardini,IT,0
2003-10-26,Jure Kosir,SK,0
2003-10-26,Andrej Sporn,SK,0
2003-10-26,David Anderson,CA,0
2003-10-26,Andreas Ertl,DE,0
2003-10-26,David Poisson,FR,0
2003-10-26,Cristian Deville,IT,0
2003-10-26,Freddy Rech,FR,0
2003-10-26,Mirko Deflorian,IT,0
2003-10-26,Francois Bourque,CA,0
2003-10-26,Jukka Rajala,FI,0
2003-10-26,Hannes Reichelt,AT,0
2003-10-26,Patrick Thaler,IT,0
2003-10-26,Ted Ligety,US,0
2003-10-26,Romed Baumann,AT,0
2003-10-26,Raphael Faessler,CH,0
2003-10-26,Hans Knauss,AT,36
2003-10-26,Bernard Vajdic,SK,0
2003-10-26,Bruno Kernen,CH,0
2003-10-26,Florian Eckert,DE,0
2003-10-26,Rene Mlekuz,SK,0
2003-10-26,Luca Cattaneo,IT,0
2003-10-26,Johan Clarey,FR,0
2003-10-26,Jukka Leino,FI,0
2003-10-26,Mitja Kunc,SK,0
2003-10-26,Ondrej Bank,CZ,0
2003-10-26,Pavel Chestakov,RU,0
2003-10-26,Andre Myhrer,SE,0
2003-10-26,Alex Antor,AD,0
2003-10-26,Markus Ganahl,LI,0
2003-10-26,Stephan Eberharter,AT,32
2003-10-26,Andreas Nilsen,NO,0
2003-10-26,Noel Baxter,GB,0
2003-10-26,Erik Seletto,IT,0
2003-10-26,Marc Bottollier,FR,0
2003-10-26,Julien Cousineau,CA,0
2003-10-26,Vincent Lavoie,CA,0
2003-10-26,Patrick Staudacher,IT,0
2003-10-26,Paul Accola,CH,0
2003-10-26,Didier Defago,CH,0
2003-10-26,Jeff Piccard,FR,0
2003-10-26,Rainer Schoenfelder,AT,0
2003-10-26,Aksel-Lund Svindal,NO,0
2003-10-26,Christoph Gruber,AT,0
2003-10-26,Stephan Goergl,AT,0
2003-10-26,Dane Spencer,US,0
2003-10-26,Thomas Grandi,CA,0
2003-10-26,Manfred Pranger,AT,0
2003-10-26,Giorgio Rocca,IT,0
2003-10-26,Giancarlo Bergamelli,IT,0
2003-10-26,Johan Brolenius,SE,0
2003-10-26,Silvan Zurbriggen,CH,0
2003-10-26,Tom Stiansen,NO,0
2003-10-26,Alberto Schieppati,IT,0
2003-10-26,Pierrick Bourgeat,FR,0
2003-10-26,Lasse Kjus,NO,0
2003-10-26,Gauthier De Tessieres,FR,5
2003-10-26,Tobias Gruenenfelder,CH,20
2003-10-26,Didier Cuche,CH,18
2003-10-26,Massimiliano Blardone,IT,16
2003-10-26,Hermann Maier,AT,15
2003-10-26,Peter Fill,IT,14
2003-10-26,Ambrosi Hoffmann,CH,13
2003-10-26,Christian Mayer,AT,0
2003-10-26,Marco Casanova,CH,12
2003-10-26,Sami Uotila,FI,11
2003-10-26,Kalle Palander,FI,24
2003-10-26,Bjarne Solbakken,NO,9
2003-10-26,Michael Gufler,IT,8
2003-10-26,Raphael Burtin,FR,7
2003-10-26,Truls Ove Karlsen,NO,6
2003-10-26,Ales Gorza,SK,11
2003-10-26,Heinz Schilchegger,AT,40
2003-10-26,Tom Rothrock,US,0
2003-10-26,Mario Matt,AT,0
2003-10-26,Sebastien Fournier-Bidoz,FR,0
2003-10-26,Norbert Holzknecht,AT,0
2003-10-26,Fritz Strobl,AT,0
2003-10-26,Daron Rahlves,US,0
2003-10-26,Nicolas Burtin,FR,0
2003-10-26,Gregor Sparovec,SK,0
2003-10-26,Patrik Jaerbyn,SE,0
2003-10-26,Rolf von Weissenfluh,CH,0
2003-10-26,Yannick Bertrand,FR,0
2003-10-26,Klaus Kroell,AT,0
2003-10-26,Hannes Trinkl,AT,0
2003-10-26,Marco Buechel,LI,0
2003-10-26,Josef Strobl,AT,0
2003-10-26,Jan Hudec,CA,0
2003-10-26,Kristian Ghedina,IT,0
2003-10-26,Akira Sasaki,JP,0
2003-10-26,Franco Cavegn,CH,0
2003-10-26,Hans Grugger,AT,0
2003-10-26,Kurt Engl,AT,0
2003-10-26,Mitja Dragsic,SK,0
2003-10-26,Chip Knight,US,0
2003-10-26,Fredrik Nyberg,SE,26
2003-10-26,Richard Gravier,FR,0
2003-10-26,Martin Hansson,SE,0
2003-10-26,Max Rauffer,DE,0
2003-10-26,Stephane Tissot,FR,0
2003-10-26,Jean Pierre Vidal,FR,0
2003-10-26,Urs Imboden,CH,0
2003-10-26,Sebastien Amiez,FR,0
2003-10-26,Michael Walchhofer,AT,0
2003-10-26,Erik Guay,CA,0
2003-10-26,Antoine Deneriaz,FR,0
2003-10-26,Kilian Albrecht,AT,0
2003-10-26,Benjamin Raich,AT,45
2003-10-26,Ivica Kostelic,HR,22
2003-10-26,Joel Chenal,FR,60
2003-10-26,Arnold Rieder,IT,50
2003-10-26,Frederic Covili,FR,80
2003-11-22,Andreas Ertl,DE,0
2003-11-22,Pierrick Bourgeat,FR,0
2003-11-22,Mirko Deflorian,IT,0
2003-11-22,Hermann Maier,AT,51
2003-11-22,Tom Stiansen,NO,0
2003-11-22,Silvan Zurbriggen,CH,0
2003-11-22,Johan Brolenius,SE,0
2003-11-22,Giancarlo Bergamelli,IT,0
2003-11-22,Manfred Pranger,AT,0
2003-11-22,Gauthier De Tessieres,FR,5
2003-11-22,Michael Gufler,IT,8
2003-11-22,Sami Uotila,FI,11
2003-11-22,Ales Gorza,SK,11
2003-11-22,Marco Casanova,CH,12
2003-11-22,Giorgio Rocca,IT,0
2003-11-22,Tom Rothrock,US,0
2003-11-22,Akira Sasaki,JP,0
2003-11-22,Mario Matt,AT,0
